ac_number,constituency,party_21,vote_pct_21,region,reserved,party_26,vote_pct_26,margin,flipped,vote_pct_diff
1,Gummidipundi,DMK,57.4,Chennai Metro,GEN,TVK,40.73,27945,True,16.67
2,Ponneri,INC,45.27,Chennai Metro,SC,TVK,48.88,55768,True,3.61
3,Tiruttani,DMK,52.09,Chennai Metro,GEN,AIADMK,37.53,5793,True,14.56
4,Thiruvallur,DMK,50.72,Chennai Metro,GEN,TVK,40.92,24760,True,9.8
5,Poonamallee,DMK,57.34,Chennai Metro,SC,TVK,52.49,72740,True,4.85
6,Avadi,DMK,50.34,Chennai Metro,GEN,TVK,52.37,76311,True,2.03
7,Maduravoyal,DMK,44.64,Chennai Metro,GEN,TVK,48.5,61509,True,3.86
8,Ambattur,DMK,48.14,Chennai Metro,GEN,TVK,51.58,58781,True,3.44
9,Madavaram,DMK,50.41,Chennai Metro,GEN,TVK,52.82,94985,True,2.41
10,Thiruvottiyur,DMK,44.34,Chennai Metro,GEN,TVK,53.36,53564,True,9.02
11,Dr. Radhakrishnan Nagar,DMK,51.67,Chennai Metro,GEN,TVK,54.14,49668,True,2.47
12,Perambur,DMK,52.93,Chennai Metro,GEN,TVK,59.07,53715,True,6.14
13,Kolathur,DMK,61.4,Chennai Metro,GEN,TVK,45.31,8795,True,16.09
14,Villivakkam,DMK,53.37,Chennai Metro,GEN,TVK,47.21,17302,True,6.16
15,Thiru-Vi-Ka-Nagar,DMK,61.61,Chennai Metro,SC,TVK,48.21,22333,True,13.4
16,Egmore,DMK,58.29,Chennai Metro,SC,TVK,45.28,10804,True,13.01
17,Royapuram,DMK,53.56,Chennai Metro,GEN,TVK,46.57,14249,True,6.99
18,Harbour,DMK,58.88,Chennai Metro,GEN,DMK,45.7,11750,False,13.18
19,Chepauk-Thiruvallikeni,DMK,68.92,Chennai Metro,GEN,DMK,44.96,7140,False,23.96
20,Thousand Lights,DMK,53.41,Chennai Metro,GEN,TVK,45.01,15141,True,8.4
21,Anna Nagar,DMK,48.95,Chennai Metro,GEN,TVK,43.96,21363,True,4.99
22,Virugampakkam,DMK,44.38,Chennai Metro,GEN,TVK,44.29,27086,True,0.09
23,Saidapet,DMK,50.38,Chennai Metro,GEN,TVK,50.92,28514,True,0.54
24,Theayagaraya Nagar,DMK,41.05,Chennai Metro,GEN,TVK,38.81,13027,True,2.24
25,Mylapore,DMK,44.95,Chennai Metro,GEN,TVK,46.77,28972,True,1.82
26,Velachery,INC,39.15,Chennai Metro,GEN,TVK,43.84,33305,True,4.69
27,Shozhinganallur,DMK,44.52,Chennai Metro,GEN,TVK,49.5,96780,True,4.98
28,Alandur,DMK,49.51,Chennai Metro,GEN,TVK,43.1,29609,True,6.41
29,Sriperumbudur,INC,44.01,Chennai Metro,SC,TVK,44.74,54246,True,0.73
30,Pallavaram,DMK,47.84,Chennai Metro,GEN,TVK,47.37,54693,True,0.47
31,Tambaram,DMK,47.36,Chennai Metro,GEN,TVK,42.9,35621,True,4.46
32,Chengalpattu,DMK,48.18,Chennai Metro,GEN,TVK,42.51,35641,True,5.67
33,Thiruporur,VCK,41.8,North,GEN,TVK,42.16,39351,True,0.36
34,Cheyyur,VCK,46.49,North,SC,AIADMK,34.16,5668,True,12.33
35,Maduranthakam,AIADMK,46.97,North,SC,AIADMK,35.09,7194,False,11.88
