ac_number,male_t,female_t,gap,winning_party,wp,constituency,region,reserved
1,91.5,90.23,-1.27,TVK,TVK,Gummidipundi,Chennai Metro,GEN
2,90.88,88.71,-2.17,TVK,TVK,Ponneri,Chennai Metro,SC
3,89.45,90.07,0.62,AIADMK,AIADMK,Tiruttani,Chennai Metro,GEN
4,90.2,88.78,-1.42,TVK,TVK,Thiruvallur,Chennai Metro,GEN
5,83.89,82.73,-1.16,TVK,TVK,Poonamallee,Chennai Metro,SC
6,78.71,78.69,-0.02,TVK,TVK,Avadi,Chennai Metro,GEN
7,78.3,78.43,0.13,TVK,TVK,Maduravoyal,Chennai Metro,GEN
8,77.37,76.34,-1.03,TVK,TVK,Ambattur,Chennai Metro,GEN
9,83.94,82.88,-1.06,TVK,TVK,Madavaram,Chennai Metro,GEN
10,84.25,84.29,0.04,TVK,TVK,Thiruvottiyur,Chennai Metro,GEN
11,90.37,90.73,0.36,TVK,TVK,Dr. Radhakrishnan Nagar,Chennai Metro,GEN
12,89.74,89.72,-0.02,TVK,TVK,Perambur,Chennai Metro,GEN
13,86.49,85.75,-0.74,TVK,TVK,Kolathur,Chennai Metro,GEN
14,86.4,85.62,-0.78,TVK,TVK,Villivakkam,Chennai Metro,GEN
15,79.39,77.96,-1.43,TVK,TVK,Thiru-Vi-Ka-Nagar,Chennai Metro,SC
16,85.92,85.19,-0.73,TVK,TVK,Egmore,Chennai Metro,SC
17,79.37,78.92,-0.45,TVK,TVK,Royapuram,Chennai Metro,GEN
18,83.61,81.71,-1.9,DMK,DMK,Harbour,Chennai Metro,GEN
19,84.58,83.97,-0.61,DMK,DMK,Chepauk-Thiruvallikeni,Chennai Metro,GEN
20,83.0,82.53,-0.47,TVK,TVK,Thousand Lights,Chennai Metro,GEN
21,85.75,85.53,-0.22,TVK,TVK,Anna Nagar,Chennai Metro,GEN
22,85.45,85.54,0.09,TVK,TVK,Virugampakkam,Chennai Metro,GEN
23,78.31,77.42,-0.89,TVK,TVK,Saidapet,Chennai Metro,GEN
