ac_number,male_electors_21,female_electors_21,tg_electors_21,total_electors_21,male_voters_21,female_voters_21,tg_voters_21,total_voters_21,turnout_21,male_turnout_21,female_turnout_21,gender_gap_21,male_electors_26,female_electors_26,tg_electors_26,total_electors_26,male_voters_26,female_voters_26,tg_voters_26,total_voters_26,turnout_26,male_turnout_26,female_turnout_26,gender_gap_26,constituency,region,reserved,district,male_delta,female_delta,gap_change,female_surge,gap_flipped
1,137463,144186,39,281688,110186,109804,6,222192,78.88,80.16,76.15,-4.01,123403,130736,36,254175,112919,117961,20,232630,91.52,91.5,90.23,-1.27,Gummidipundi,Chennai Metro,GEN,Tiruvallur,11.34,14.08,2.74,2.74,False
2,130499,136837,32,267368,105379,103693,15,210557,78.75,80.75,75.78,-4.97,122315,129071,35,251421,111156,114495,25,226873,90.24,90.88,88.71,-2.17,Ponneri,Chennai Metro,SC,Tiruvallur,10.13,12.93,2.8,2.8,False
3,142660,148648,28,291336,113715,115065,6,233222,80.05,79.71,77.41,-2.3,130026,132449,25,262500,116310,119297,13,239451,91.22,89.45,90.07,0.62,Tiruttani,Chennai Metro,GEN,Tiruvallur,9.74,12.66,2.92,2.92,True
4,133822,141134,26,274982,106147,106073,4,214402,77.97,79.32,75.16,-4.16,122289,128786,36,251111,110302,114331,16,226788,90.31,90.2,88.78,-1.42,Thiruvallur,Chennai Metro,GEN,Tiruvallur,10.88,13.62,2.74,2.74,False
5,176028,182131,59,358218,132241,129851,46,264011,73.7,75.12,71.3,-3.82,179193,189432,69,368694,150326,156720,34,309019,83.81,83.89,82.73,-1.16,Poonamallee,Chennai Metro,SC,Tiruvallur,8.77,11.43,2.66,2.66,False
6,219925,222804,102,442831,150551,147933,10,301916,68.18,68.46,66.4,-2.06,213438,223008,76,436522,167997,175491,22,346358,79.34,78.71,78.69,-0.02,Avadi,Chennai Metro,GEN,Tiruvallur,10.25,12.29,2.04,2.04,False
7,227934,224115,146,452195,139361,133211,8,273951,60.58,61.14,59.44,-1.7,183998,189242,81,373321,144069,148424,17,294170,78.8,78.3,78.43,0.13,Maduravoyal,Chennai Metro,GEN,Tiruvallur,17.16,18.99,1.83,1.83,True
8,192150,192133,94,384377,122029,116379,2,240383,62.54,63.51,60.57,-2.94,165415,171608,58,337081,127983,130997,11,260675,77.33,77.37,76.34,-1.03,Ambattur,Chennai Metro,GEN,Tiruvallur,13.86,15.77,1.91,1.91,False
9,226191,228177,106,454474,152319,149213,18,303051,66.68,67.34,65.39,-1.95,211303,220482,81,431866,177376,182737,33,362249,83.88,83.94,82.88,-1.06,Madavaram,Chennai Metro,GEN,Tiruvallur,16.6,17.49,0.89,0.89,False
10,150835,155025,145,306005,100031,99230,24,200077,65.38,66.32,64.01,-2.31,119231,125579,121,244931,100451,105848,76,207167,84.58,84.25,84.29,0.04,Thiruvottiyur,Chennai Metro,GEN,Tiruvallur,17.93,20.28,2.35,2.35,True
11,126727,136149,104,262980,90612,96003,21,187318,71.23,71.5,70.51,-0.99,95281,104017,96,199394,86109,94370,51,181348,90.95,90.37,90.73,0.36,Dr. Radhakrishnan Nagar,Chennai Metro,GEN,Chennai,18.87,20.22,1.35,1.35,True
12,155364,160507,71,315942,100105,99294,11,200777,63.55,64.43,61.86,-2.57,109732,116540,73,226345,98471,104560,41,204619,90.4,89.74,89.72,-0.02,Perambur,Chennai Metro,GEN,Chennai,25.31,27.86,2.55,2.55,False
13,137525,143605,67,281197,86436,85218,2,173761,61.79,62.85,59.34,-3.51,101844,109953,36,211833,88089,94284,20,184284,86.99,86.49,85.75,-0.74,Kolathur,Chennai Metro,GEN,Chennai,23.64,26.41,2.77,2.77,False
14,125131,130134,63,255328,71749,71083,1,144973,56.78,57.34,54.62,-2.72,78710,84673,33,163416,68004,72498,17,141650,86.68,86.4,85.62,-0.78,Villivakkam,Chennai Metro,GEN,Chennai,29.06,31.0,1.94,1.94,False
15,106365,113021,52,219438,66441,66609,6,133880,61.01,62.47,58.94,-3.53,87116,94479,63,181658,69165,73655,43,143940,79.24,79.39,77.96,-1.43,Thiru-Vi-Ka-Nagar,Chennai Metro,SC,Chennai,16.92,19.02,2.1,2.1,False
16,95725,97384,53,193162,60135,57983,0,119450,61.84,62.82,59.54,-3.28,67560,71179,57,138796,58050,60635,41,119915,86.4,85.92,85.19,-0.73,Egmore,Chennai Metro,SC,Chennai,23.1,25.65,2.55,2.55,False
17,94203,98377,55,192635,60143,60458,5,121510,63.08,63.84,61.46,-2.38,77226,82388,58,159672,61297,65022,26,127420,79.8,79.37,78.92,-0.45,Royapuram,Chennai Metro,GEN,Chennai,15.53,17.46,1.93,1.93,False
18,91593,84137,55,175785,54463,46834,9,101687,57.85,59.46,55.66,-3.8,59785,60300,57,120142,49986,49269,28,99634,82.93,83.61,81.71,-1.9,Harbour,Chennai Metro,GEN,Chennai,24.15,26.05,1.9,1.9,False
19,114960,119072,35,234067,69385,67113,8,137483,58.74,60.36,56.36,-4.0,80462,85529,59,166050,68057,71820,46,140834,84.81,84.58,83.97,-0.61,Chepauk-Thiruvallikeni,Chennai Metro,GEN,Chennai,24.22,27.61,3.39,3.39,False
20,117273,122729,94,240096,67176,68085,14,136673,56.92,57.28,55.48,-1.8,75257,82225,69,157551,62461,67860,46,131905,83.72,83.0,82.53,-0.47,Thousand Lights,Chennai Metro,GEN,Chennai,25.72,27.05,1.33,1.33,False
21,140274,145729,87,286090,81862,82047,17,165822,57.96,58.36,56.3,-2.06,90874,97986,48,188908,77925,83812,25,163432,86.51,85.75,85.53,-0.22,Anna Nagar,Chennai Metro,GEN,Chennai,27.39,29.23,1.84,1.84,False
22,145403,146197,91,291691,84602,83318,14,169274,58.03,58.18,56.99,-1.19,97011,103564,52,200627,82892,88586,29,172888,86.17,85.45,85.54,0.09,Virugampakkam,Chennai Metro,GEN,Chennai,27.27,28.55,1.28,1.28,True
23,136800,142158,75,279033,80631,79345,17,161361,57.83,58.94,55.81,-3.13,98561,105554,62,204177,77180,81725,30,160496,78.61,78.31,77.42,-0.89,Saidapet,Chennai Metro,GEN,Chennai,19.37,21.61,2.24,2.24,False
24,120903,124090,47,245040,68970,67502,6,138198,56.4,57.05,54.4,-2.65,76541,82216,34,158791,64192,68428,19,134147,84.48,83.87,83.23,-0.64,Theayagaraya Nagar,Chennai Metro,GEN,Chennai,26.82,28.83,2.01,2.01,False
25,131179,139349,40,270568,75883,76676,1,153643,56.79,57.85,55.02,-2.83,95298,104174,24,199496,71857,77412,8,150800,75.59,75.4,74.31,-1.09,Mylapore,Chennai Metro,GEN,Chennai,17.55,19.29,1.74,1.74,False
26,155588,158896,94,314578,87640,88126,0,176784,56.2,56.33,55.46,-0.87,104934,112227,47,217208,88896,94291,20,185042,85.19,84.72,84.02,-0.7,Velachery,Chennai Metro,GEN,Chennai,28.39,28.56,0.17,0.17,False
27,350276,348508,109,698893,196354,191101,19,389365,55.71,56.06,54.83,-1.23,270734,283128,116,553978,218269,226974,49,447368,80.76,80.62,80.17,-0.45,Shozhinganallur,Chennai Metro,GEN,Kanchipuram,24.56,25.34,0.78,0.78,False
28,192326,196744,48,389118,118425,117546,0,238072,61.18,61.58,59.75,-1.83,146303,154782,42,301127,126666,132584,21,261666,86.9,86.58,85.66,-0.92,Alandur,Chennai Metro,GEN,Kanchipuram,25.0,25.91,0.91,0.91,False
29,172893,182321,53,355267,132011,130851,1,264293,74.39,76.35,71.77,-4.58,184620,197124,63,381807,160464,168186,25,331155,86.73,86.92,85.32,-1.6,Sriperumbudur,Chennai Metro,SC,Kanchipuram,10.57,13.55,2.98,2.98,False
30,217012,219186,41,436239,133880,131140,3,266808,61.16,61.69,59.83,-1.86,164387,172613,24,337024,138276,143530,10,283768,84.2,84.12,83.15,-0.97,Pallavaram,Chennai Metro,GEN,Kanchipuram,22.43,23.32,0.89,0.89,False
31,206807,208802,54,415663,125268,121938,0,249433,60.01,60.57,58.4,-2.17,160542,169588,51,330181,135115,141856,26,279036,84.51,84.16,83.65,-0.51,Tambaram,Chennai Metro,GEN,Kanchipuram,23.59,25.25,1.66,1.66,False
32,210573,217812,55,428440,137581,134803,3,274566,64.09,65.34,61.89,-3.45,181113,191719,57,372889,157809,164229,16,324093,86.91,87.13,85.66,-1.47,Chengalpattu,Chennai Metro,GEN,Kanchipuram,21.79,23.77,1.98,1.98,False
33,144217,150365,38,294620,113398,111536,7,226830,76.99,78.63,74.18,-4.45,143284,151114,54,294452,128166,132610,26,262633,89.19,89.45,87.75,-1.7,Thiruporur,North,GEN,Kanchipuram,10.82,13.57,2.75,2.75,False
34,112010,115428,30,227468,89825,87324,0,179351,78.85,80.19,75.65,-4.54,100967,103062,20,204049,92344,93275,4,188026,92.15,91.46,90.5,-0.96,Cheyyur,North,SC,Kanchipuram,11.27,14.85,3.58,3.58,False
35,111443,115213,59,226715,92713,90833,30,186065,82.07,83.19,78.84,-4.35,104522,108079,65,212666,96955,99289,45,198551,93.36,92.76,91.87,-0.89,Maduranthakam,North,SC,Kanchipuram,9.57,13.03,3.46,3.46,False
36,125776,134653,33,260462,104031,104368,10,210971,81.0,82.71,77.51,-5.2,119629,126557,62,246248,110350,113855,38,228219,92.68,92.24,89.96,-2.28,Uthiramerur,North,GEN,Kanchipuram,9.53,12.45,2.92,2.92,False
37,149473,159706,13,309192,113718,112864,1,229815,74.33,76.08,70.67,-5.41,134971,143833,37,278841,119443,123293,25,246886,88.54,88.5,85.72,-2.78,Kancheepuram,North,GEN,Kanchipuram,12.42,15.05,2.63,2.63,False
38,110822,116481,17,227320,84967,85063,10,171417,75.41,76.67,73.03,-3.64,97891,103069,26,200986,88750,92250,23,182493,90.8,90.66,89.5,-1.16,Arakonam,North,SC,Vellore,13.99,16.47,2.48,2.48,False
39,136709,141316,9,278034,111454,110740,1,224354,80.69,81.53,78.36,-3.17,127210,130854,12,258076,114605,117089,7,233969,90.66,90.09,89.48,-0.61,Sholinghur,North,GEN,Vellore,8.56,11.12,2.56,2.56,False
40,121746,128448,34,250228,90142,93252,20,186763,74.64,74.04,72.6,-1.44,111580,118535,33,230148,96887,104591,27,204355,88.79,86.83,88.24,1.41,Katpadi,North,GEN,Vellore,12.79,15.64,2.85,2.85,True
41,129517,137725,18,267260,101241,104618,6,207782,77.75,78.17,75.96,-2.21,120877,128040,45,248962,106868,112808,33,221259,88.87,88.41,88.1,-0.31,Ranipet,North,GEN,Vellore,10.24,12.14,1.9,1.9,False
42,128622,133846,8,262476,102956,104902,1,210056,80.03,80.05,78.38,-1.67,121352,125406,28,246786,108805,114453,26,226005,91.58,89.66,91.27,1.61,Arcot,North,GEN,Vellore,9.61,12.89,3.28,3.28,True
43,122356,131154,26,253536,87173,90480,4,180223,71.08,71.25,68.99,-2.26,103632,111267,47,214946,90855,97882,40,190573,88.66,87.67,87.97,0.3,Vellore,North,GEN,Vellore,16.42,18.98,2.56,2.56,True
44,125622,131067,38,256727,95523,100915,4,199099,77.55,76.04,76.99,0.95,117577,123020,43,240640,102934,111093,12,217085,90.21,87.55,90.3,2.75,Anaikattu,North,GEN,Vellore,11.51,13.31,1.8,1.8,False
45,112247,114988,6,227241,86521,85751,1,174677,76.87,77.08,74.57,-2.51,107004,110009,8,217021,91317,96519,7,190379,87.72,85.34,87.74,2.4,Kilvaithinankuppam,North,SC,Vellore,8.26,13.17,4.91,4.91,True
