ac_number,constituency,nota_21,region,nota_26,tot_21,tot_26,nota_pct_21,nota_pct_26,nota_delta
1,Gummidipundi,1783,Chennai Metro,937,222069,232522,0.803,0.403,-0.4
2,Ponneri,1554,Chennai Metro,865,210354,226819,0.739,0.381,-0.358
3,Tiruttani,1665,Chennai Metro,1210,232624,238798,0.716,0.507,-0.209
4,Thiruvallur,1872,Chennai Metro,1132,214243,226428,0.874,0.5,-0.374
5,Poonamallee,2867,Chennai Metro,1571,263736,308894,1.087,0.509,-0.578
6,Avadi,2381,Chennai Metro,1533,300927,346005,0.791,0.443,-0.348
7,Maduravoyal,2146,Chennai Metro,1462,273870,293692,0.784,0.498,-0.286
8,Ambattur,2358,Chennai Metro,1490,240299,259986,0.981,0.573,-0.408
9,Madavaram,2166,Chennai Metro,1394,302700,361998,0.716,0.385,-0.331
10,Thiruvottiyur,1111,Chennai Metro,805,199996,207088,0.556,0.389,-0.167
11,Dr. Radhakrishnan Nagar,1704,Chennai Metro,561,187027,181206,0.911,0.31,-0.601
12,Perambur,1515,Chennai Metro,601,200387,204384,0.756,0.294,-0.462
13,Kolathur,1529,Chennai Metro,892,173388,184051,0.882,0.485,-0.397
14,Villivakkam,1444,Chennai Metro,695,144092,141452,1.002,0.491,-0.511
15,Thiru-Vi-Ka-Nagar,1046,Chennai Metro,527,133696,143903,0.782,0.366,-0.416
16,Egmore,1176,Chennai Metro,695,119271,119738,0.986,0.58,-0.406
17,Royapuram,901,Chennai Metro,459,121191,127356,0.743,0.36,-0.383
18,Harbour,912,Chennai Metro,600,101650,99622,0.897,0.602,-0.295
19,Chepauk-Thiruvallikeni,2061,Chennai Metro,643,137405,140741,1.5,0.457,-1.043
20,Thousand Lights,1385,Chennai Metro,815,135940,131824,1.019,0.618,-0.401
21,Anna Nagar,1545,Chennai Metro,963,165096,163339,0.936,0.59,-0.346
22,Virugampakkam,1563,Chennai Metro,1030,169087,172831,0.924,0.596,-0.328
23,Saidapet,1158,Chennai Metro,924,160327,160401,0.722,0.576,-0.146
24,Theayagaraya Nagar,1617,Chennai Metro,878,138114,133928,1.171,0.656,-0.515
25,Mylapore,1287,Chennai Metro,770,153430,150594,0.839,0.511,-0.328
26,Velachery,1742,Chennai Metro,1336,176714,184815,0.986,0.723,-0.263
27,Shozhinganallur,3030,Chennai Metro,2079,388355,447295,0.78,0.465,-0.315
28,Alandur,1888,Chennai Metro,1263,237751,261570,0.794,0.483,-0.311
29,Sriperumbudur,2139,Chennai Metro,1161,264262,331088,0.809,0.351,-0.458
30,Pallavaram,1945,Chennai Metro,1602,266194,283677,0.731,0.565,-0.166
31,Tambaram,2284,Chennai Metro,1512,248968,278809,0.917,0.542,-0.375
32,Chengalpattu,3075,Chennai Metro,1395,274087,324010,1.122,0.431,-0.691
33,Thiruporur,1982,North,1248,226729,262409,0.874,0.476,-0.398
34,Cheyyur,1141,North,783,179120,187584,0.637,0.417,-0.22
35,Maduranthakam,1371,North,797,185842,198251,0.738,0.402,-0.336
36,Uthiramerur,952,North,1114,210529,227765,0.452,0.489,0.037
37,Kancheepuram,2539,North,1078,229432,246317,1.107,0.438,-0.669
38,Arakonam,1656,North,899,171412,182340,0.966,0.493,-0.473
39,Sholinghur,1239,North,572,224109,233684,0.553,0.245,-0.308
40,Katpadi,1889,North,745,186246,203497,1.014,0.366,-0.648
41,Ranipet,1632,North,1209,207462,221038,0.787,0.547,-0.24
42,Arcot,2253,North,656,209791,225786,1.074,0.291,-0.783
43,Vellore,1441,North,757,179899,190527,0.801,0.397,-0.404
44,Anaikattu,1791,North,1103,197805,216318,0.905,0.51,-0.395
45,Kilvaithinankuppam,1798,North,972,174124,189892,1.033,0.512,-0.521
46,Gudiyatham,1699,North,799,211630,229076,0.803,0.349,-0.454
47,Vaniayambadi,1492,North,624,189997,212534,0.785,0.294,-0.491
48,Ambur,1417,North,468,177878,195584,0.797,0.239,-0.558
49,Jolarpet,1337,North,695,196358,213042,0.681,0.326,-0.355
50,Tiruppattur,1632,North,464,185930,202925,0.878,0.229,-0.649
