ac_number,tg_el,tg_v,tg_turnout
1,36,20,55.6
2,35,25,71.4
3,25,13,52.0
4,36,16,44.4
5,69,34,49.3
6,76,22,28.9
7,81,17,21.0
8,58,11,19.0
9,81,33,40.7
10,121,76,62.8
11,96,51,53.1
12,73,41,56.2
13,36,20,55.6
14,33,17,51.5
15,63,43,68.3
16,57,41,71.9
17,58,26,44.8
18,57,28,49.1
19,59,46,78.0
20,69,46,66.7
21,48,25,52.1
22,52,29,55.8
23,62,30,48.4
24,34,19,55.9
25,24,8,33.3
26,47,20,42.6
27,116,49,42.2
28,42,21,50.0
29,63,25,39.7
30,24,10,41.7
31,51,26,51.0
32,57,16,28.1
33,54,26,48.1
34,20,4,20.0
35,65,45,69.2
36,62,38,61.3
37,37,25,67.6
38,26,23,88.5
39,12,7,58.3
40,33,27,81.8
41,45,33,73.3
42,28,26,92.9
43,47,40,85.1
44,43,12,27.9
45,8,7,87.5
46,34,24,70.6
47,51,32,62.7
48,41,33,80.5
49,20,12,60.0
50,29,20,69.0
51,41,8,19.5
52,17,9,52.9
53,61,42,68.9
54,38,20,52.6
55,72,29,40.3
56,37,17,45.9
57,21,17,81.0
58,9,6,66.7
59,84,64,76.2
60,14,10,71.4
61,24,20,83.3
62,13,8,61.5
63,48,37,77.1
64,15,10,66.7
65,18,8,44.4
66,11,9,81.8
67,38,26,68.4
68,9,9,100.0
69,5,1,20.0
70,29,16,55.2
71,19,10,52.6
72,11,6,54.5
73,16,9,56.2
74,76,58,76.3
75,29,19,65.5
76,35,23,65.7
77,44,27,61.4
78,51,19,37.3
79,44,22,50.0
80,68,41,60.3
81,7,3,42.9
82,22,20,90.9
83,18,14,77.8
84,22,18,81.8
85,15,11,73.3
86,30,24,80.0
87,30,24,80.0
88,64,46,71.9
89,50,43,86.0
90,49,36,73.5
91,17,15,88.2
92,13,11,84.6
93,26,15,57.7
94,39,33,84.6
95,10,9,90.0
96,48,30,62.5
97,72,60,83.3
98,38,28,73.7
99,43,33,76.7
100,12,10,83.3
101,8,2,25.0
102,13,8,61.5
103,6,4,66.7
104,20,13,65.0
105,27,16,59.3
106,13,12,92.3
107,23,18,78.3
108,11,8,72.7
109,7,5,71.4
110,8,7,87.5
111,35,15,42.9
112,8,4,50.0
113,125,71,56.8
114,24,11,45.8
115,30,9,30.0
116,101,84,83.2
117,115,70,60.9
118,29,10,34.5
119,106,61,57.5
120,32,18,56.2
121,24,10,41.7
122,36,16,44.4
123,35,16,45.7
124,21,19,90.5
125,27,11,40.7
126,16,3,18.8
127,50,32,64.0
128,2,1,50.0
129,17,7,41.2
130,14,1,7.1
131,69,36,52.2
132,20,8,40.0
133,3,1,33.3
134,2,2,100.0
135,41,40,97.6
136,31,30,96.8
137,7,3,42.9
138,8,5,62.5
139,47,32,68.1
140,35,22,62.9
141,54,36,66.7
142,54,29,53.7
143,28,21,75.0
144,38,26,68.4
145,15,11,73.3
146,31,20,64.5
147,29,24,82.8
148,3,3,100.0
149,16,12,75.0
150,12,7,58.3
151,4,3,75.0
152,22,11,50.0
153,16,9,56.2
154,72,52,72.2
155,80,60,75.0
156,46,30,65.2
157,19,10,52.6
158,30,16,53.3
159,10,4,40.0
160,13,8,61.5
161,26,19,73.1
162,8,6,75.0
163,22,17,77.3
164,7,3,42.9
165,1,1,100.0
166,13,8,61.5
167,4,2,50.0
168,20,7,35.0
169,14,3,21.4
170,8,3,37.5
171,15,6,40.0
172,23,8,34.8
173,20,9,45.0
174,50,33,66.0
175,6,2,33.3
176,20,7,35.0
177,15,6,40.0
178,9,4,44.4
179,34,32,94.1
180,22,16,72.7
181,3,3,100.0
183,2,1,50.0
184,29,15,51.7
185,4,2,50.0
186,3,0,0.0
187,7,2,28.6
188,11,3,27.3
189,57,28,49.1
190,12,6,50.0
191,50,28,56.0
192,49,3,6.1
193,26,15,57.7
194,12,6,50.0
195,31,14,45.2
196,9,5,55.6
197,8,4,50.0
198,30,12,40.0
199,110,61,55.5
200,16,6,37.5
201,22,7,31.8
202,33,22,66.7
203,39,27,69.2
204,62,47,75.8
205,28,12,42.9
206,41,24,58.5
207,29,14,48.3
208,15,10,66.7
209,18,12,66.7
210,23,10,43.5
211,13,5,38.5
212,2,1,50.0
213,16,12,75.0
214,65,40,61.5
215,30,20,66.7
216,5,4,80.0
217,56,23,41.1
218,29,12,41.4
219,17,12,70.6
220,13,9,69.2
221,17,8,47.1
222,102,45,44.1
223,21,14,66.7
224,80,63,78.8
225,12,10,83.3
226,18,5,27.8
227,13,8,61.5
228,23,14,60.9
229,94,58,61.7
230,10,3,30.0
231,1,1,100.0
232,3,3,100.0
233,3,2,66.7
234,15,1,6.7
