ac_number,region,party_grp,votes,total_ac,vote_pct,year
1,Chennai Metro,DMK,126452,222069,56.943,2021
1,Chennai Metro,NOTA,1783,222069,0.803,2021
1,Chennai Metro,NTK,11701,222069,5.269,2021
1,Chennai Metro,Others,6619,222069,2.981,2021
1,Chennai Metro,PMK,75514,222069,34.005,2021
2,Chennai Metro,AIADMK,84839,210354,40.332,2021
2,Chennai Metro,INC,94528,210354,44.938,2021
2,Chennai Metro,NOTA,1554,210354,0.739,2021
2,Chennai Metro,NTK,19027,210354,9.045,2021
2,Chennai Metro,Others,10406,210354,4.947,2021
3,Chennai Metro,AIADMK,91061,232624,39.145,2021
3,Chennai Metro,DMK,120314,232624,51.72,2021
3,Chennai Metro,NOTA,1665,232624,0.716,2021
3,Chennai Metro,NTK,12007,232624,5.162,2021
3,Chennai Metro,Others,7577,232624,3.257,2021
4,Chennai Metro,AIADMK,85008,214243,39.678,2021
4,Chennai Metro,DMK,107709,214243,50.274,2021
4,Chennai Metro,NOTA,1872,214243,0.874,2021
4,Chennai Metro,NTK,15028,214243,7.014,2021
4,Chennai Metro,Others,4626,214243,2.159,2021
5,Chennai Metro,DMK,149578,263736,56.715,2021
5,Chennai Metro,NOTA,2867,263736,1.087,2021
5,Chennai Metro,NTK,29871,263736,11.326,2021
5,Chennai Metro,Others,25952,263736,9.84,2021
5,Chennai Metro,PMK,55468,263736,21.032,2021
6,Chennai Metro,AIADMK,95012,300927,31.573,2021
6,Chennai Metro,DMK,150287,300927,49.941,2021
6,Chennai Metro,NOTA,2381,300927,0.791,2021
6,Chennai Metro,NTK,30087,300927,9.998,2021
6,Chennai Metro,Others,23160,300927,7.696,2021
7,Chennai Metro,AIADMK,89577,273870,32.708,2021
7,Chennai Metro,DMK,121298,273870,44.29,2021
7,Chennai Metro,NOTA,2146,273870,0.784,2021
7,Chennai Metro,NTK,21045,273870,7.684,2021
7,Chennai Metro,Others,39804,273870,14.534,2021
8,Chennai Metro,AIADMK,72408,240299,30.132,2021
8,Chennai Metro,DMK,114554,240299,47.671,2021
8,Chennai Metro,NOTA,2358,240299,0.981,2021
8,Chennai Metro,NTK,22701,240299,9.447,2021
8,Chennai Metro,Others,28278,240299,11.768,2021
9,Chennai Metro,AIADMK,94414,302700,31.191,2021
9,Chennai Metro,DMK,151485,302700,50.045,2021
9,Chennai Metro,NOTA,2166,302700,0.716,2021
9,Chennai Metro,NTK,27453,302700,9.069,2021
9,Chennai Metro,Others,27182,302700,8.98,2021
10,Chennai Metro,AIADMK,50524,199996,25.263,2021
10,Chennai Metro,DMK,88185,199996,44.093,2021
10,Chennai Metro,NOTA,1111,199996,0.556,2021
10,Chennai Metro,NTK,48597,199996,24.299,2021
10,Chennai Metro,Others,11579,199996,5.79,2021
11,Chennai Metro,AIADMK,53284,187027,28.49,2021
11,Chennai Metro,DMK,95763,187027,51.203,2021
11,Chennai Metro,NOTA,1704,187027,0.911,2021
11,Chennai Metro,NTK,20437,187027,10.927,2021
11,Chennai Metro,Others,15839,187027,8.469,2021
12,Chennai Metro,AIADMK,50291,200387,25.097,2021
12,Chennai Metro,DMK,105267,200387,52.532,2021
12,Chennai Metro,NOTA,1515,200387,0.756,2021
12,Chennai Metro,NTK,19821,200387,9.891,2021
12,Chennai Metro,Others,23493,200387,11.724,2021
13,Chennai Metro,AIADMK,35138,173388,20.266,2021
13,Chennai Metro,DMK,105522,173388,60.859,2021
13,Chennai Metro,NOTA,1529,173388,0.882,2021
13,Chennai Metro,NTK,11279,173388,6.505,2021
13,Chennai Metro,Others,19920,173388,11.489,2021
14,Chennai Metro,AIADMK,38890,144092,26.99,2021
14,Chennai Metro,DMK,76127,144092,52.832,2021
14,Chennai Metro,NOTA,1444,144092,1.002,2021
14,Chennai Metro,NTK,10914,144092,7.574,2021
14,Chennai Metro,Others,16717,144092,11.602,2021
15,Chennai Metro,AIADMK,26714,133696,19.981,2021
15,Chennai Metro,DMK,81727,133696,61.129,2021
15,Chennai Metro,NOTA,1046,133696,0.782,2021
15,Chennai Metro,NTK,10921,133696,8.169,2021
15,Chennai Metro,Others,13288,133696,9.939,2021
16,Chennai Metro,AIADMK,30064,119271,25.206,2021
16,Chennai Metro,DMK,68832,119271,57.711,2021
16,Chennai Metro,NOTA,1176,119271,0.986,2021
16,Chennai Metro,NTK,6276,119271,5.262,2021
16,Chennai Metro,Others,12923,119271,10.835,2021
17,Chennai Metro,AIADMK,36645,121191,30.237,2021
17,Chennai Metro,DMK,64424,121191,53.159,2021
17,Chennai Metro,NOTA,901,121191,0.743,2021
17,Chennai Metro,NTK,7953,121191,6.562,2021
17,Chennai Metro,Others,11268,121191,9.298,2021
18,Chennai Metro,BJP,32043,101650,31.523,2021
18,Chennai Metro,DMK,59317,101650,58.354,2021
18,Chennai Metro,NOTA,912,101650,0.897,2021
18,Chennai Metro,NTK,3357,101650,3.303,2021
18,Chennai Metro,Others,6021,101650,5.923,2021
19,Chennai Metro,DMK,93285,137405,67.891,2021
19,Chennai Metro,NOTA,2061,137405,1.5,2021
19,Chennai Metro,NTK,9193,137405,6.69,2021
19,Chennai Metro,Others,8936,137405,6.503,2021
19,Chennai Metro,PMK,23930,137405,17.416,2021
20,Chennai Metro,BJP,39405,135940,28.987,2021
20,Chennai Metro,DMK,71867,135940,52.867,2021
20,Chennai Metro,NOTA,1385,135940,1.019,2021
20,Chennai Metro,NTK,8884,135940,6.535,2021
20,Chennai Metro,Others,14399,135940,10.592,2021
21,Chennai Metro,AIADMK,52609,165096,31.866,2021
21,Chennai Metro,DMK,80054,165096,48.489,2021
21,Chennai Metro,NOTA,1545,165096,0.936,2021
21,Chennai Metro,NTK,10406,165096,6.303,2021
21,Chennai Metro,Others,20482,165096,12.406,2021
22,Chennai Metro,AIADMK,55984,169087,33.11,2021
22,Chennai Metro,DMK,74351,169087,43.972,2021
22,Chennai Metro,NOTA,1563,169087,0.924,2021
22,Chennai Metro,NTK,10185,169087,6.024,2021
22,Chennai Metro,Others,27004,169087,15.97,2021
