region,display_party,votes,vote_share_pct,year
Central,AIADMK,2985532,35.55,2021
Central,BJP,113463,1.35,2021
Central,DMK,3267059,38.91,2021
Central,INC,249010,2.97,2021
Central,NOTA,59841,0.71,2021
Central,NTK,414122,4.93,2021
Central,Others,474766,5.65,2021
Central,PMK,677106,8.06,2021
Central,VCK,156548,1.86,2021
Chennai Metro,AIADMK,1858457,28.34,2021
Chennai Metro,BJP,71448,1.09,2021
Chennai Metro,DMK,2973202,45.34,2021
Chennai Metro,INC,278374,4.25,2021
Chennai Metro,NOTA,56849,0.87,2021
Chennai Metro,NTK,555575,8.47,2021
Chennai Metro,Others,608433,9.28,2021
Chennai Metro,PMK,154912,2.36,2021
Delta,AIADMK,2065035,33.56,2021
Delta,BJP,49560,0.81,2021
Delta,CPI,97092,1.58,2021
Delta,CPI(M),137698,2.24,2021
Delta,DMK,2499797,40.62,2021
Delta,INC,155477,2.53,2021
Delta,NOTA,37854,0.62,2021
Delta,NTK,459770,7.47,2021
Delta,Others,463338,7.53,2021
Delta,PMK,121903,1.98,2021
Delta,VCK,66281,1.08,2021
Kongu,AIADMK,2559474,39.51,2021
Kongu,BJP,348662,5.38,2021
Kongu,CPI,215904,3.33,2021
Kongu,DMK,2227231,34.38,2021
Kongu,INC,250211,3.86,2021
Kongu,NOTA,53321,0.82,2021
Kongu,NTK,347245,5.36,2021
Kongu,Others,476337,7.35,2021
North,AIADMK,2378691,31.72,2021
North,BJP,107618,1.43,2021
North,CPI,120641,1.61,2021
North,CPI(M),68699,0.92,2021
North,DMK,2764050,36.85,2021
North,INC,181516,2.42,2021
North,NOTA,60322,0.8,2021
North,NTK,394786,5.26,2021
North,Others,414103,5.52,2021
North,PMK,774615,10.33,2021
North,VCK,234934,3.13,2021
South,AIADMK,3543785,31.78,2021
South,BJP,522759,4.69,2021
South,CPI,70900,0.64,2021
South,CPI(M),184422,1.65,2021
South,DMK,3698761,33.17,2021
South,INC,861939,7.73,2021
South,NOTA,77351,0.69,2021
South,NTK,870476,7.81,2021
South,Others,1288999,11.56,2021
South,PMK,30238,0.27,2021
Central,AIADMK,2405482,27.0,2026
Central,BJP,60297,0.68,2026
Central,DMK,2065288,23.18,2026
Central,INC,107233,1.2,2026
Central,NOTA,30920,0.35,2026
Central,NTK,259658,2.91,2026
Central,Others,427315,4.8,2026
Central,PMK,495093,5.56,2026
Central,TVK,2764172,31.02,2026
Central,VCK,294413,3.3,2026
Chennai Metro,AIADMK,1126638,15.94,2026
Chennai Metro,BJP,71933,1.02,2026
Chennai Metro,CPI(M),56503,0.8,2026
Chennai Metro,DMK,1718606,24.31,2026
Chennai Metro,INC,193964,2.74,2026
Chennai Metro,NOTA,33800,0.48,2026
Chennai Metro,NTK,249860,3.53,2026
Chennai Metro,Others,276630,3.91,2026
Chennai Metro,PMK,44558,0.63,2026
Chennai Metro,TVK,3296372,46.63,2026
Delta,AIADMK,1265240,19.54,2026
Delta,BJP,223581,3.45,2026
Delta,CPI,74062,1.14,2026
Delta,CPI(M),102842,1.59,2026
Delta,DMK,1790960,27.66,2026
Delta,INC,180415,2.79,2026
Delta,NOTA,24055,0.37,2026
Delta,NTK,294284,4.55,2026
Delta,Others,301429,4.66,2026
Delta,PMK,88841,1.37,2026
Delta,TVK,2128265,32.87,2026
Kongu,AIADMK,1659501,23.86,2026
Kongu,BJP,298133,4.29,2026
Kongu,CPI,117071,1.68,2026
Kongu,DMK,1782145,25.62,2026
Kongu,INC,247189,3.55,2026
Kongu,NOTA,34376,0.49,2026
Kongu,NTK,242874,3.49,2026
Kongu,Others,175680,2.53,2026
Kongu,TVK,2399218,34.49,2026
North,AIADMK,2018506,24.93,2026
North,BJP,139383,1.72,2026
North,CPI,78283,0.97,2026
North,DMK,1659584,20.5,2026
North,INC,232488,2.87,2026
North,NOTA,32936,0.41,2026
North,NTK,215819,2.67,2026
North,Others,420864,5.2,2026
North,PMK,442253,5.46,2026
North,TVK,2676796,33.06,2026
North,VCK,179308,2.21,2026
South,AIADMK,1986779,16.81,2026
South,BJP,673697,5.7,2026
South,CPI,57072,0.48,2026
South,CPI(M),134472,1.14,2026
South,DMK,2912561,24.64,2026
South,INC,700023,5.92,2026
South,NOTA,43714,0.37,2026
South,NTK,710042,6.01,2026
South,Others,572924,4.85,2026
South,TVK,3961386,33.52,2026
South,VCK,66335,0.56,2026
