ac_number,constituency,party,party_canonical,candidate,votes,runner_votes,total_valid,vote_pct,winner_pct,margin,margin_pct,region,reserved,year
1,Gummidipundi,DMK,DMK,GOVINDARAJAN T.J,126452,75514,220286,57.4,57.4,50938,23.12,Chennai Metro,GEN,2021
2,Ponneri,INC,INC,DURAI. CHANDRASEKAR,94528,84839,208800,45.27,45.27,9689,4.64,Chennai Metro,SC,2021
3,Tiruttani,DMK,DMK,S.Chandran,120314,91061,230959,52.09,52.09,29253,12.67,Chennai Metro,GEN,2021
4,Thiruvallur,DMK,DMK,"RAAJENDRAN, V.G.",107709,85008,212371,50.72,50.72,22701,10.69,Chennai Metro,GEN,2021
5,Poonamallee,DMK,DMK,Krishnaswamy A,149578,55468,260869,57.34,57.34,94110,36.08,Chennai Metro,SC,2021
6,Avadi,DMK,DMK,Nasar S M,150287,95012,298546,50.34,50.34,55275,18.51,Chennai Metro,GEN,2021
7,Maduravoyal,DMK,DMK,GANAPATHY.K,121298,89577,271724,44.64,44.64,31721,11.67,Chennai Metro,GEN,2021
8,Ambattur,DMK,DMK,JOSEPH SAMUEL,114554,72408,237941,48.14,48.14,42146,17.71,Chennai Metro,GEN,2021
9,Madavaram,DMK,DMK,SUDHARSANAM. S,151485,94414,300534,50.41,50.41,57071,18.99,Chennai Metro,GEN,2021
10,Thiruvottiyur,DMK,DMK,K.P.SHANKAR,88185,50524,198885,44.34,44.34,37661,18.94,Chennai Metro,GEN,2021
11,Dr. Radhakrishnan Nagar,DMK,DMK,EBENEZER. J.J. (@)  JOHN EBENEZER.J,95763,53284,185323,51.67,51.67,42479,22.92,Chennai Metro,GEN,2021
12,Perambur,DMK,DMK,SHEKAR. R.D,105267,50291,198872,52.93,52.93,54976,27.64,Chennai Metro,GEN,2021
13,Kolathur,DMK,DMK,M.K. STALIN,105522,35138,171859,61.4,61.4,70384,40.95,Chennai Metro,GEN,2021
14,Villivakkam,DMK,DMK,A . Vetriazhagan,76127,38890,142648,53.37,53.37,37237,26.1,Chennai Metro,GEN,2021
15,Thiru-Vi-Ka-Nagar,DMK,DMK,SIVAKUMAR.P,81727,26714,132650,61.61,61.61,55013,41.47,Chennai Metro,SC,2021
16,Egmore,DMK,DMK,I.PARANTHAMEN,68832,30064,118095,58.29,58.29,38768,32.83,Chennai Metro,SC,2021
17,Royapuram,DMK,DMK,MURTHY.R.IDREAM,64424,36645,120290,53.56,53.56,27779,23.09,Chennai Metro,GEN,2021
18,Harbour,DMK,DMK,SEKARBABU. P.K,59317,32043,100738,58.88,58.88,27274,27.07,Chennai Metro,GEN,2021
19,Chepauk-Thiruvallikeni,DMK,DMK,UDHAYANIDHI STALIN,93285,23930,135344,68.92,68.92,69355,51.24,Chennai Metro,GEN,2021
20,Thousand Lights,DMK,DMK,EZHILAN N,71867,39405,134555,53.41,53.41,32462,24.13,Chennai Metro,GEN,2021
21,Anna Nagar,DMK,DMK,M.K. Mohan,80054,52609,163551,48.95,48.95,27445,16.78,Chennai Metro,GEN,2021
22,Virugampakkam,DMK,DMK,AMV.PRABHAKARA RAJA,74351,55984,167524,44.38,44.38,18367,10.96,Chennai Metro,GEN,2021
23,Saidapet,DMK,DMK,SUBRAMANIAN. MA,80194,50786,159169,50.38,50.38,29408,18.48,Chennai Metro,GEN,2021
24,Theayagaraya Nagar,DMK,DMK,KARUNANITHI J,56035,55898,136497,41.05,41.05,137,0.1,Chennai Metro,GEN,2021
25,Mylapore,DMK,DMK,VELU.DHA,68392,55759,152143,44.95,44.95,12633,8.3,Chennai Metro,GEN,2021
26,Velachery,INC,INC,JMH.AASSAN MAULAANA,68493,64141,174972,39.15,39.15,4352,2.49,Chennai Metro,GEN,2021
27,Shozhinganallur,DMK,DMK,S.ARAVINDRAMESH,171558,136153,385325,44.52,44.52,35405,9.19,Chennai Metro,GEN,2021
28,Alandur,DMK,DMK,T.M.Anbarasan,116785,76214,235863,49.51,49.51,40571,17.2,Chennai Metro,GEN,2021
29,Sriperumbudur,INC,INC,SELVAPERUNTHAGAI,115353,104474,262123,44.01,44.01,10879,4.15,Chennai Metro,SC,2021
30,Pallavaram,DMK,DMK,KARUNANITHI,126427,88646,264249,47.84,47.84,37781,14.3,Chennai Metro,GEN,2021
31,Tambaram,DMK,DMK,Raja.S.R,116840,80016,246684,47.36,47.36,36824,14.93,Chennai Metro,GEN,2021
32,Chengalpattu,DMK,DMK,VARALAKSHMI.M,130573,103908,271012,48.18,48.18,26665,9.84,Chennai Metro,GEN,2021
33,Thiruporur,VCK,VCK,S.S.Balaji,93954,92007,224747,41.8,41.8,1947,0.87,North,GEN,2021
34,Cheyyur,VCK,VCK,Babu M,82750,78708,177979,46.49,46.49,4042,2.27,North,SC,2021
35,Maduranthakam,AIADMK,AIADMK,Maragatham. K,86646,83076,184471,46.97,46.97,3570,1.94,North,SC,2021
36,Uthiramerur,DMK,DMK,SUNDAR K,93427,91805,209577,44.58,44.58,1622,0.77,North,GEN,2021
37,Kancheepuram,DMK,DMK,C.V.M.P. Ezhailzrasan,102712,91117,226893,45.27,45.27,11595,5.11,North,GEN,2021
38,Arakonam,AIADMK,AIADMK,S.RAVI,85399,58230,169756,50.31,50.31,27169,16.0,North,SC,2021
39,Sholinghur,INC,INC,A.M.MUNIRATHINAM,110228,83530,222870,49.46,49.46,26698,11.98,North,GEN,2021
40,Katpadi,DMK,DMK,DURAIMURUGAN,85140,84394,184357,46.18,46.18,746,0.4,North,GEN,2021
41,Ranipet,DMK,DMK,R.GANDHI,103291,86793,205830,50.18,50.18,16498,8.02,North,GEN,2021
42,Arcot,DMK,DMK,J.L.Eswarappan,103885,83927,207538,50.06,50.06,19958,9.62,North,GEN,2021
43,Vellore,DMK,DMK,Karthikeyan .P,84299,75118,178458,47.24,47.24,9181,5.14,North,GEN,2021
44,Anaikattu,DMK,DMK,A.P.Nandakumar,95159,88799,196014,48.55,48.55,6360,3.24,North,GEN,2021
45,Kilvaithinankuppam,AIADMK,AIADMK,M.JAGAN MOORTHY,84579,73997,172326,49.08,49.08,10582,6.14,North,SC,2021
