ac_number,ac_name,candidate,party,party_type,votes,status,total_votes,valid_votes,vote_share,region,reserved
2,PONNERI,Malathi.s,MMKA,U,371.0,FD,226873.0,225954.0,0.16,Chennai Metro,SC
5,POONAMALLEE,Mekala.j,NTK,S,11697.0,FD,309019.0,307323.0,3.81,Chennai Metro,SC
5,POONAMALLEE,Dr.jayanthi.r,IND,IND,304.0,FD,309019.0,307323.0,0.1,Chennai Metro,SC
6,AVADI,Punitha Shanmugam,NTK,S,16335.0,FD,346358.0,344472.0,4.74,Chennai Metro,GEN
7,MADURAVOYAL,Revathi L,NTK,S,13024.0,FD,294170.0,292230.0,4.46,Chennai Metro,GEN
8,AMBATTUR,Dr. J.sailas,BSP,N,443.0,FD,260675.0,258496.0,0.17,Chennai Metro,GEN
8,AMBATTUR,Dr A.p. Poornima,DMK,S,74558.0,L,260675.0,258496.0,28.84,Chennai Metro,GEN
8,AMBATTUR,D. Pushpa,IND,IND,68.0,FD,260675.0,258496.0,0.03,Chennai Metro,GEN
8,AMBATTUR,Jothi.m,IND,IND,89.0,FD,260675.0,258496.0,0.03,Chennai Metro,GEN
9,MADAVARAM,E.krithika,NTK,S,12637.0,FD,362249.0,360604.0,3.5,Chennai Metro,GEN
10,THIRUVOTTIYUR,Sathya. B,NTK,S,8413.0,FD,207167.0,206283.0,4.08,Chennai Metro,GEN
10,THIRUVOTTIYUR,Sasirekha. M,VTVTK,U,271.0,FD,207167.0,206283.0,0.13,Chennai Metro,GEN
11,DR.RADHAKRISHNAN NAGAR,Vennila.t,NTK,S,5364.0,FD,181348.0,180645.0,2.97,Chennai Metro,GEN
11,DR.RADHAKRISHNAN NAGAR,Amudha.n,IND,IND,30.0,FD,181348.0,180645.0,0.02,Chennai Metro,GEN
11,DR.RADHAKRISHNAN NAGAR,A. Usha,IND,IND,41.0,FD,181348.0,180645.0,0.02,Chennai Metro,GEN
12,PERAMBUR,M. Geeta,TK,U,47.0,FD,204619.0,203783.0,0.02,Chennai Metro,GEN
12,PERAMBUR,M. Thilagabama,PMK,U,8561.0,FD,204619.0,203783.0,4.2,Chennai Metro,GEN
12,PERAMBUR,S. Malathi,VTVTK,U,32.0,FD,204619.0,203783.0,0.02,Chennai Metro,GEN
12,PERAMBUR,Amala.r,IND,IND,32.0,FD,204619.0,203783.0,0.02,Chennai Metro,GEN
12,PERAMBUR,Azarutheen.m,IND,IND,78.0,FD,204619.0,203783.0,0.04,Chennai Metro,GEN
12,PERAMBUR,M.i. Thahira Banu,IND,IND,33.0,FD,204619.0,203783.0,0.02,Chennai Metro,GEN
12,PERAMBUR,Nivetha,IND,IND,70.0,FD,204619.0,203783.0,0.03,Chennai Metro,GEN
13,KOLATHUR,Subashini,BSP,N,236.0,FD,184284.0,183159.0,0.13,Chennai Metro,GEN
13,KOLATHUR,Oormila,tavk,U,105.0,FD,184284.0,183159.0,0.06,Chennai Metro,GEN
13,KOLATHUR,Selvi Steffi. V. M,IND,IND,122.0,FD,184284.0,183159.0,0.07,Chennai Metro,GEN
13,KOLATHUR,M. Poornima,IND,IND,56.0,FD,184284.0,183159.0,0.03,Chennai Metro,GEN
15,THIRU-VI-KA-NAGAR,Porkodi Armstrong,ADMK,S,23304.0,FD,143940.0,143376.0,16.25,Chennai Metro,SC
15,THIRU-VI-KA-NAGAR,M. R. Pallavi,TVK,U,69125.0,W,143940.0,143376.0,48.21,Chennai Metro,SC
15,THIRU-VI-KA-NAGAR,S Jayakalpana,RPPRINAT,U,350.0,FD,143940.0,143376.0,0.24,Chennai Metro,SC
16,EGMORE,Saranya Imran,NTK,S,2522.0,FD,119915.0,119043.0,2.12,Chennai Metro,SC
17,ROYAPURAM,P. Sumathi,IND,IND,49.0,FD,127420.0,126897.0,0.04,Chennai Metro,GEN
17,ROYAPURAM,M. Mahalakshmi,IND,IND,30.0,FD,127420.0,126897.0,0.02,Chennai Metro,GEN
19,CHEPAUK-THIRUVALLIKENI,Aysha,NTK,S,2971.0,FD,140834.0,140098.0,2.12,Chennai Metro,GEN
19,CHEPAUK-THIRUVALLIKENI,Ayisha,IND,IND,72.0,FD,140834.0,140098.0,0.05,Chennai Metro,GEN
20,THOUSAND LIGHTS,Valarmathi.b,ADMK,S,23320.0,L,131905.0,131009.0,17.8,Chennai Metro,GEN
20,THOUSAND LIGHTS,Valarmathi.e,IND,IND,245.0,FD,131905.0,131009.0,0.19,Chennai Metro,GEN
20,THOUSAND LIGHTS,Valarmathy.d,IND,IND,102.0,FD,131905.0,131009.0,0.08,Chennai Metro,GEN
21,ANNA NAGAR,S.gokula Indira,ADMK,S,34382.0,L,163432.0,162376.0,21.17,Chennai Metro,GEN
23,SAIDAPET,Srividya. G,NTK,S,5918.0,FD,160496.0,159477.0,3.71,Chennai Metro,GEN
23,SAIDAPET,Valarmathi. P,IND,IND,139.0,FD,160496.0,159477.0,0.09,Chennai Metro,GEN
24,THIYAGARAYANAGAR,Anusha V,NTK,S,4554.0,FD,134147.0,133050.0,3.42,Chennai Metro,GEN
24,THIYAGARAYANAGAR,Padmini Narasimhan,IND,IND,124.0,FD,134147.0,133050.0,0.09,Chennai Metro,GEN
24,THIYAGARAYANAGAR,Mythili C,IND,IND,86.0,FD,134147.0,133050.0,0.06,Chennai Metro,GEN
25,MYLAPORE,Dr. Tamilisai Soundararajan,BJP,N,32328.0,L,150800.0,149824.0,21.58,Chennai Metro,GEN
25,MYLAPORE,Vinu Pradha. A,IND,IND,109.0,FD,150800.0,149824.0,0.07,Chennai Metro,GEN
25,MYLAPORE,Vijayalakshmi. P,IND,IND,227.0,FD,150800.0,149824.0,0.15,Chennai Metro,GEN
26,VELACHERY,Keerthana. M,NTK,S,7697.0,FD,185042.0,183479.0,4.2,Chennai Metro,GEN
26,VELACHERY,Kanchana. R,MMKA,U,205.0,FD,185042.0,183479.0,0.11,Chennai Metro,GEN
