ac_number,male_electors_21,female_electors_21,tg_electors_21,total_electors_21,male_voters_21,female_voters_21,tg_voters_21,total_voters_21,turnout_21
1,137463,144186,39,281688,110186,109804,6,222192,78.88
2,130499,136837,32,267368,105379,103693,15,210557,78.75
3,142660,148648,28,291336,113715,115065,6,233222,80.05
4,133822,141134,26,274982,106147,106073,4,214402,77.97
5,176028,182131,59,358218,132241,129851,46,264011,73.7
6,219925,222804,102,442831,150551,147933,10,301916,68.18
7,227934,224115,146,452195,139361,133211,8,273951,60.58
8,192150,192133,94,384377,122029,116379,2,240383,62.54
9,226191,228177,106,454474,152319,149213,18,303051,66.68
10,150835,155025,145,306005,100031,99230,24,200077,65.38
11,126727,136149,104,262980,90612,96003,21,187318,71.23
12,155364,160507,71,315942,100105,99294,11,200777,63.55
13,137525,143605,67,281197,86436,85218,2,173761,61.79
14,125131,130134,63,255328,71749,71083,1,144973,56.78
15,106365,113021,52,219438,66441,66609,6,133880,61.01
16,95725,97384,53,193162,60135,57983,0,119450,61.84
17,94203,98377,55,192635,60143,60458,5,121510,63.08
18,91593,84137,55,175785,54463,46834,9,101687,57.85
19,114960,119072,35,234067,69385,67113,8,137483,58.74
20,117273,122729,94,240096,67176,68085,14,136673,56.92
21,140274,145729,87,286090,81862,82047,17,165822,57.96
22,145403,146197,91,291691,84602,83318,14,169274,58.03
23,136800,142158,75,279033,80631,79345,17,161361,57.83
24,120903,124090,47,245040,68970,67502,6,138198,56.4
25,131179,139349,40,270568,75883,76676,1,153643,56.79
26,155588,158896,94,314578,87640,88126,0,176784,56.2
27,350276,348508,109,698893,196354,191101,19,389365,55.71
28,192326,196744,48,389118,118425,117546,0,238072,61.18
29,172893,182321,53,355267,132011,130851,1,264293,74.39
30,217012,219186,41,436239,133880,131140,3,266808,61.16
31,206807,208802,54,415663,125268,121938,0,249433,60.01
32,210573,217812,55,428440,137581,134803,3,274566,64.09
33,144217,150365,38,294620,113398,111536,7,226830,76.99
34,112010,115428,30,227468,89825,87324,0,179351,78.85
35,111443,115213,59,226715,92713,90833,30,186065,82.07
36,125776,134653,33,260462,104031,104368,10,210971,81
37,149473,159706,13,309192,113718,112864,1,229815,74.33
38,110822,116481,17,227320,84967,85063,10,171417,75.41
39,136709,141316,9,278034,111454,110740,1,224354,80.69
40,121746,128448,34,250228,90142,93252,20,186763,74.64
41,129517,137725,18,267260,101241,104618,6,207782,77.75
42,128622,133846,8,262476,102956,104902,1,210056,80.03
43,122356,131154,26,253536,87173,90480,4,180223,71.08
44,125622,131067,38,256727,95523,100915,4,199099,77.55
45,112247,114988,6,227241,86521,85751,1,174677,76.87
46,140672,149423,40,290135,102993,107189,14,211961,73.06
47,123613,126570,37,250220,93525,94861,10,190402,76.09
48,115878,122569,26,238473,87069,89453,14,178192,74.72
49,120219,120642,8,240869,94501,99393,2,196613,81.63
50,119300,119923,16,239239,92426,91500,4,186513,77.96
51,119850,118393,56,238299,93876,92304,20,188437,79.08
52,123493,124826,16,248335,96661,99115,0,198221,79.82
