Column2,Column11,Column12
AC NO.,POSTAL,TOTAL
1,1451,126452
1,510,75514
1,58,11701
1,23,2576
1,8,1783
1,7,1038
1,3,816
1,6,532
1,0,482
1,5,374
1,2,351
1,0,254
1,0,196
2,859,94528
2,305,84839
2,54,19027
2,22,5394
2,19,2832
2,3,1554
2,4,1106
2,0,470
2,0,298
2,1,190
2,0,116
3,2309,120314
3,1357,91061
3,107,12007
3,25,3928
3,12,1665
3,3,892
3,8,769
3,6,717
3,1,366
3,1,353
3,8,182
3,0,143
3,0,121
3,1,60
3,0,46
4,1393,107709
4,500,85008
4,85,15028
4,15,2329
4,15,1872
4,5,1077
4,3,388
4,2,283
4,0,232
4,1,133
4,0,97
4,0,87
5,1195,149578
5,219,55468
5,67,29871
5,50,11927
5,34,8805
5,11,2891
5,18,2871
5,0,448
5,0,402
5,0,355
5,2,290
5,0,242
5,0,239
5,2,176
5,0,173
6,1442,150287
6,681,95012
6,134,30087
6,110,17092
6,20,2381
6,16,1911
6,12,1263
6,10,773
6,1,360
6,1,300
6,0,231
6,0,198
6,3,187
6,0,143
6,1,127
6,0,120
6,0,108
6,0,105
6,0,95
6,2,75
6,0,72
7,857,121298
7,264,89577
7,91,33401
7,46,21045
7,12,2660
7,9,2146
7,2,908
7,6,628
7,1,553
7,1,349
7,0,287
7,0,161
7,0,149
7,1,143
7,0,124
7,0,96
7,0,95
7,0,69
7,0,69
7,0,64
7,0,48
8,1183,114554
8,500,72408
8,63,22701
8,84,22370
8,15,2631
8,26,2358
8,6,807
8,2,615
8,0,251
8,2,233
8,1,177
8,0,162
8,0,156
8,1,142
8,1,139
8,0,111
8,1,95
8,0,80
8,0,59
8,1,57
8,0,55
8,3,55
8,0,44
8,0,39
9,831,151485
9,208,94414
9,42,27453
9,39,15877
9,16,7104
9,5,2166
9,3,1393
9,0,465
9,0,437
9,0,431
9,2,413
9,0,175
9,1,170
9,0,119
9,1,114
9,0,108
9,0,101
9,2,85
9,0,81
9,0,62
9,0,47
10,482,88185
10,89,50524
10,100,48597
10,28,7053
10,4,1417
10,5,1111
10,2,603
10,1,585
10,0,367
10,0,291
10,0,253
10,0,224
10,0,184
10,0,115
10,0,103
10,0,96
10,0,88
10,0,71
10,0,52
10,0,48
10,0,29
11,247,95763
11,80,53284
11,36,20437
11,17,11198
11,4,1852
11,2,1704
11,0,557
11,0,361
11,0,241
11,0,222
11,1,215
11,0,115
11,0,111
11,0,104
11,0,92
11,0,79
11,0,79
11,0,67
11,0,55
11,0,48
11,0,48
11,0,47
11,0,44
11,0,44
11,0,39
11,0,38
11,1,37
11,1,37
11,2,34
11,0,27
11,0,26
11,0,22
12,687,105267
12,198,50291
12,34,19821
12,46,17072
12,3,4042
12,7,1515
12,0,515
12,0,296
12,0,194
12,0,174
12,0,172
12,0,166
12,0,163
12,0,112
12,0,106
12,0,90
12,1,87
12,0,65
12,1,60
12,0,48
12,0,46
12,0,45
12,0,40
13,1217,105522
13,337,35138
13,87,14210
13,45,11304
13,11,1529
13,9,1295
13,5,1081
13,1,682
13,1,620
13,0,257
13,0,197
13,1,182
13,0,118
13,0,117
13,1,110
13,0,98
13,0,91
13,0,88
13,0,63
13,0,61
13,0,52
13,0,44
13,0,44
13,1,43
13,2,42
13,5,42
13,0,41
13,2,39
13,0,38
13,0,38
13,0,37
13,1,34
13,1,32
13,5,30
13,0,30
13,0,21
13,0,18
14,780,76127
14,289,38890
14,82,13364
14,68,10914
14,14,1444
14,13,1094
14,0,409
14,0,261
14,1,222
14,0,206
14,1,194
14,1,189
14,0,171
14,0,98
14,0,88
14,0,80
14,6,74
14,0,54
14,0,43
14,0,42
14,1,40
14,2,36
14,0,27
14,1,25
15,444,81727
15,112,26714
15,29,10921
15,40,9710
15,2,1787
15,4,1046
15,3,355
15,1,214
15,0,144
15,0,136
15,1,129
15,1,125
15,1,106
15,0,85
15,1,79
15,1,77
15,0,62
15,0,57
15,0,44
15,0,41
15,0,38
15,0,37
15,0,33
15,0,29
16,672,68832
16,335,30064
16,57,9990
16,39,6276
16,23,1293
16,9,1176
16,1,492
16,4,361
16,0,171
16,2,109
16,0,98
16,1,92
16,2,84
16,0,55
16,0,45
16,2,41
16,0,38
16,2,28
16,4,26
17,329,64424
17,187,36645
17,27,8166
17,30,7953
17,4,1128
17,5,901
17,3,557
17,0,205
17,0,180
17,0,172
17,0,133
17,0,109
17,0,85
17,0,60
17,0,58
17,0,56
17,0,55
17,0,52
17,0,50
17,1,43
17,0,30
17,0,27
17,0,27
17,0,26
17,0,21
17,0,18
17,0,10
18,244,59317
18,72,32043
18,5,3763
18,12,3357
18,3,913
18,4,775
18,0,410
18,0,247
18,0,166
18,0,117
18,0,68
18,0,63
18,2,47
18,0,40
18,1,38
18,0,37
18,0,33
18,0,27
18,0,25
18,0,24
18,0,22
18,0,21
18,0,20
18,0,18
18,0,13
18,1,12
18,0,12
18,0,11
18,0,11
19,649,93285
19,167,23930
19,23,9193
19,6,4096
19,14,2061
19,8,1873
19,8,723
19,1,367
19,14,367
19,0,244
19,1,139
19,0,118
19,0,112
19,1,110
19,1,105
19,0,89
19,1,88
19,0,81
19,2,65
19,0,57
19,0,53
19,1,50
19,0,49
19,0,42
19,0,39
19,1,35
19,1,34
20,430,71867
20,168,39405
20,22,11791
20,24,8884
20,4,1385
20,10,1155
20,1,246
20,1,231
20,0,229
20,0,154
20,0,72
20,3,66
20,0,66
20,0,65
20,0,62
20,0,53
20,0,52
20,0,47
20,1,42
20,0,37
20,1,31
21,698,80054
21,312,52609
21,88,17522
21,45,10406
21,16,1545
21,6,1169
21,2,408
21,0,220
21,0,158
21,1,142
21,0,125
21,0,122
21,2,86
21,0,74
21,0,73
21,0,69
21,0,62
21,0,59
21,0,56
21,0,53
21,0,32
21,0,27
21,0,13
21,0,12
22,537,74351
22,458,55984
22,68,16939
22,32,10185
22,21,5186
22,1,1585
22,12,1563
22,4,1440
22,0,344
22,3,209
22,2,148
22,0,131
22,0,119
22,0,90
22,1,90
22,2,88
22,4,73
22,4,72
22,0,68
22,2,65
22,1,56
22,0,56
22,0,49
22,0,49
22,0,48
22,1,41
22,0,34
22,0,24
23,479,80194
23,153,50786
23,41,13454
23,30,10717
23,5,2081
23,3,1158
23,0,274
23,1,209
23,0,182
23,0,145
23,0,141
23,0,125
23,0,121
23,0,91
23,2,89
23,0,66
23,0,48
23,0,47
23,0,43
23,0,40
23,0,38
23,0,37
23,0,34
23,0,32
23,0,31
23,0,30
23,0,30
23,0,23
23,1,23
23,0,20
23,0,18
24,570,56035
24,892,55898
24,94,14567
24,25,8284
24,20,1617
24,8,782
24,10,269
24,0,124
24,0,109
24,0,92
24,9,88
24,2,88
24,2,74
24,2,52
24,2,35
25,473,68392
25,293,55759
25,54,14904
25,26,10124
25,8,1287
25,5,1118
25,3,413
25,0,203
25,0,181
25,2,129
25,0,117
25,0,113
25,0,112
25,0,93
25,2,87
25,0,82
25,0,76
25,1,50
25,3,38
25,0,38
25,0,35
25,0,29
25,0,26
25,0,24
26,495,68493
26,311,64141
26,80,23072
26,29,14171
26,5,1977
26,17,1742
26,4,750
26,4,477
26,0,282
26,1,278
26,0,229
26,0,170
26,0,143
26,1,117
26,0,116
26,0,89
26,1,87
26,0,85
26,0,69
26,0,63
26,0,57
26,0,48
26,0,34
26,0,24
27,883,171558
27,319,136153
27,47,38872
27,55,30284
27,9,3912
27,9,3030
27,2,676
27,3,554
27,0,477
27,4,452
27,1,427
27,0,310
27,0,176
27,1,172
27,0,160
27,0,149
27,1,147
27,0,134
27,0,127
27,0,117
27,0,96
27,0,95
27,5,72
27,0,58
27,0,57
27,0,45
27,0,45
28,1008,116785
28,580,76214
28,72,21139
28,53,16522
28,10,1908
28,11,1770
28,9,1105
28,4,265
28,0,262
28,10,239
28,1,220
28,3,207
28,0,148
28,0,138
28,0,137
28,1,110
28,0,109
28,0,80
28,1,74
28,0,59
28,6,56
28,0,53
28,10,44
28,1,42
28,0,40
28,0,25
29,799,115353
29,457,104474
29,36,22034
29,32,8870
29,15,6340
29,19,3144
29,7,2139
29,1,803
29,2,282
29,0,138
29,3,135
29,15,129
29,1,124
29,0,123
29,12,100
29,0,74
30,722,126427
30,334,88644
30,40,21522
30,45,20774
30,5,3719
30,10,1945
30,0,517
30,2,432
30,0,351
30,0,274
30,1,268
30,2,203
30,1,168
30,0,136
