ac_number,constituency,candidate,party_2026,votes_2026,Turn_out_2026,region,reserved
27,SHOZHINGANALLUR,ECR P SARAVANAN,TVK,220382,80.76,Chennai Metro,GEN
27,SHOZHINGANALLUR,S. ARAVIND RAMESH,DMK,123602,80.76,Chennai Metro,GEN
27,SHOZHINGANALLUR,K.P.KANDAN,AIADMK,74112,80.76,Chennai Metro,GEN
1,GUMMIDIPOONDI,S.VIJAYAKUMAR,TVK,94320,91.49,Chennai Metro,GEN
9,MADAVARAM,M.L.VIJAYPRABHU,TVK,190462,83.82,Chennai Metro,GEN
9,MADAVARAM,S.SUDHARSANAM,DMK,95477,83.82,Chennai Metro,GEN
2,PONNERI,DR.RAVI.M.S,TVK,110439,90.21,Chennai Metro,SC
6,AVADI,R.RAMESH KUMAR,TVK,180384,79.24,Chennai Metro,GEN
6,AVADI,S.M.NASAR,DMK,104073,79.24,Chennai Metro,GEN
3,TIRUTTANI,G.HARI,AIADMK,89169,90.97,Chennai Metro,GEN
3,TIRUTTANI,M.SATHYA KUMAR,TVK,83376,90.97,Chennai Metro,GEN
5,POONAMALLEE,PRAKASAM.R,TVK,161309,83.78,Chennai Metro,SC
5,POONAMALLEE,KRISHNASWAMY.A,DMK,88569,83.78,Chennai Metro,SC
4,THIRUVALLUR,DR. T. ARUNKUMAR,TVK,92190,90.16,Chennai Metro,GEN
86,EDAPPADI,EDAPPADI PALANISWAMI. K,AIADMK,148933,93.43,Central,GEN
29,SRIPERUMBUDUR,THENNARASU.K,TVK,147611,86.72,Chennai Metro,SC
29,SRIPERUMBUDUR,K. SELVAPERUNTHAGAI,INC,93365,86.72,Chennai Metro,SC
29,SRIPERUMBUDUR,K. PALANI,AIADMK,73182,86.72,Chennai Metro,SC
117,KAVUNDAMPALAYAM,KANIMOZHI SANTHOSH,TVK,146466,86.2,Kongu,GEN
117,KAVUNDAMPALAYAM,ARUNKUMAR PRG,AIADMK,104326,86.2,Kongu,GEN
117,KAVUNDAMPALAYAM,SURYA PRAKASH K.P,INC,90726,86.2,Kongu,GEN
7,MADURAVOYAL,RHEVANTH CHARAN,TVK,141725,78.67,Chennai Metro,GEN
7,MADURAVOYAL,GANAPATHY. K,DMK,80216,78.67,Chennai Metro,GEN
8,AMBATTUR,BALAMURUGAN.G,TVK,133339,77.13,Chennai Metro,GEN
8,AMBATTUR,DR A.P. POORNIMA,DMK,74558,77.13,Chennai Metro,GEN
32,CHENGALPATTU,S. THIYAGARAJAN,TVK,137136,86.89,Chennai Metro,GEN
32,CHENGALPATTU,KARTHIKDHANDAPANI,DMK,101495,86.89,Chennai Metro,GEN
30,PALLAVARAM,J.KAMATCHI,TVK,133611,84.17,Chennai Metro,GEN
30,PALLAVARAM,D.MURUGESAN,DMDK,78918,84.17,Chennai Metro,GEN
10,THIRUVOTTIYUR,SENTHIL KUMAR. N,TVK,110067,84.55,Chennai Metro,GEN
11,DR.RADHAKRISHNAN NAGAR,N. MARIE WILSON,TVK,97800,90.89,Chennai Metro,GEN
113,TIRUPPUR (NORTH),V.SATHYABAMA,TVK,131401,83.4,Kongu,GEN
12,PERAMBUR,C. JOSEPH VIJAY,TVK,120365,90.29,Chennai Metro,GEN
13,KOLATHUR,V. S. BABU,TVK,82997,86.89,Chennai Metro,GEN
13,KOLATHUR,M. K. STALIN,DMK,74202,86.89,Chennai Metro,GEN
115,PALLADAM,K.RAMKUMAR,TVK,121297,91.25,Kongu,GEN
115,PALLADAM,K.P.PARAMASIVAM,AIADMK,83400,91.25,Kongu,GEN
115,PALLADAM,K.SELVARAJ,DMK,78625,91.25,Kongu,GEN
88,SALEM (WEST),LAKSHMANAN.S,TVK,120407,90.83,Central,GEN
31,TAMBARAM,D.SARATHKUMAR,TVK,118967,84.44,Chennai Metro,GEN
31,TAMBARAM,R.S.KIRUTHIKA DEVI,DMK,83346,84.44,Chennai Metro,GEN
189,MADURAI EAST,KARTHIKEYAN S,TVK,118777,80.65,South,GEN
189,MADURAI EAST,MOORTHY P,DMK,102230,80.65,South,GEN
195,THIRUPARANKUNDRAM,NIRMALKUMAR. R.,TVK,114316,81.93,South,GEN
195,THIRUPARANKUNDRAM,KIRUTHIGA THANGAPANDI,DMK,72763,81.93,South,GEN
84,OMALUR,MANI. R,AIADMK,112246,91.96,Central,GEN
84,OMALUR,ADHIYAMAAN. R.V,TVK,97707,91.96,Central,GEN
28,ALANDUR,M.HARISH,TVK,112205,86.9,Chennai Metro,GEN
28,ALANDUR,T.M.ANBARASAN,DMK,82596,86.9,Chennai Metro,GEN
21,ANNA NAGAR,V.K.RAMKUMAR,TVK,71375,86.46,Chennai Metro,GEN
22,VIRUGAMPAKKAM,SABARINATHAN.R,TVK,76092,86.14,Chennai Metro,GEN
33,THIRUPORUR,B.VIJAYARAJ,TVK,110095,89.12,North,GEN
33,THIRUPORUR,R. PANNEERDOSS,VCK,70744,89.12,North,GEN
23,SAIDAPET,ARUL PRAKASAM. M,TVK,81205,78.57,Chennai Metro,GEN
55,HOSUR,BALAKRISHNAREDDY. P,AIADMK,109867,80.98,North,GEN
55,HOSUR,VENDARKARASAN.S,TVK,82064,80.98,North,GEN
55,HOSUR,SATHYA.S.A.,DMK,73773,80.98,North,GEN
129,ATHOOR,I. PERIASAMY,DMK,106240,90.41,South,GEN
