ac_number,male_electors_26,female_electors_26,tg_electors_26,total_electors_26,male_voters_26,female_voters_26,tg_voters_26,total_voters_26,turnout_26
1,123403,130736,36,254175,112919,117961,20,232630,91.52
2,122315,129071,35,251421,111156,114495,25,226873,90.24
3,130026,132449,25,262500,116310,119297,13,239451,91.22
4,122289,128786,36,251111,110302,114331,16,226788,90.31
5,179193,189432,69,368694,150326,156720,34,309019,83.81
6,213438,223008,76,436522,167997,175491,22,346358,79.34
7,183998,189242,81,373321,144069,148424,17,294170,78.8
8,165415,171608,58,337081,127983,130997,11,260675,77.33
9,211303,220482,81,431866,177376,182737,33,362249,83.88
10,119231,125579,121,244931,100451,105848,76,207167,84.58
11,95281,104017,96,199394,86109,94370,51,181348,90.95
12,109732,116540,73,226345,98471,104560,41,204619,90.4
13,101844,109953,36,211833,88089,94284,20,184284,86.99
14,78710,84673,33,163416,68004,72498,17,141650,86.68
15,87116,94479,63,181658,69165,73655,43,143940,79.24
16,67560,71179,57,138796,58050,60635,41,119915,86.4
17,77226,82388,58,159672,61297,65022,26,127420,79.8
18,59785,60300,57,120142,49986,49269,28,99634,82.93
19,80462,85529,59,166050,68057,71820,46,140834,84.81
20,75257,82225,69,157551,62461,67860,46,131905,83.72
21,90874,97986,48,188908,77925,83812,25,163432,86.51
22,97011,103564,52,200627,82892,88586,29,172888,86.17
23,98561,105554,62,204177,77180,81725,30,160496,78.61
24,76541,82216,34,158791,64192,68428,19,134147,84.48
25,95298,104174,24,199496,71857,77412,8,150800,75.59
26,104934,112227,47,217208,88896,94291,20,185042,85.19
27,270734,283128,116,553978,218269,226974,49,447368,80.76
28,146303,154782,42,301127,126666,132584,21,261666,86.9
29,184620,197124,63,381807,160464,168186,25,331155,86.73
30,164387,172613,24,337024,138276,143530,10,283768,84.2
31,160542,169588,51,330181,135115,141856,26,279036,84.51
32,181113,191719,57,372889,157809,164229,16,324093,86.91
33,143284,151114,54,294452,128166,132610,26,262633,89.19
34,100967,103062,20,204049,92344,93275,4,188026,92.15
35,104522,108079,65,212666,96955,99289,45,198551,93.36
36,119629,126557,62,246248,110350,113855,38,228219,92.68
37,134971,143833,37,278841,119443,123293,25,246886,88.54
38,97891,103069,26,200986,88750,92250,23,182493,90.8
39,127210,130854,12,258076,114605,117089,7,233969,90.66
40,111580,118535,33,230148,96887,104591,27,204355,88.79
41,120877,128040,45,248962,106868,112808,33,221259,88.87
42,121352,125406,28,246786,108805,114453,26,226005,91.58
43,103632,111267,47,214946,90855,97882,40,190573,88.66
44,117577,123020,43,240640,102934,111093,12,217085,90.21
45,107004,110009,8,217021,91317,96519,7,190379,87.72
46,122808,129222,34,252064,110788,116891,24,229252,90.95
47,120350,122919,51,243320,102922,108127,32,212624,87.38
48,104747,110110,41,214898,94511,99804,33,195785,91.11
49,118010,119435,20,237465,101356,109466,12,213582,89.94
50,113338,113985,29,227352,99729,101356,20,203263,89.4
51,118275,117609,41,235925,101261,101289,8,205745,87.21
52,119224,121235,17,240476,103171,107287,9,214129,89.04
53,132866,136467,61,269394,111260,115393,42,231023,85.76
54,125068,121633,38,246739,112032,108986,20,222792,90.29
55,171306,171662,72,343040,137844,137688,29,277928,81.02
56,120911,117013,37,237961,105115,99156,17,205968,86.56
57,121408,119432,21,240861,111960,110493,17,225496,93.62
58,128018,120805,9,248832,115196,110199,6,228907,91.99
59,130887,130008,84,260979,116631,116510,64,238742,91.48
60,128665,128337,14,257016,115239,116602,10,237164,92.28
61,122608,123339,24,245971,106883,108403,20,220303,89.56
62,134094,135316,13,269423,119078,121404,8,243703,90.45
63,121132,128846,48,250026,105300,112475,37,220079,88.02
64,119081,122113,15,241209,106836,110497,10,220055,91.23
65,115844,117733,18,233595,104334,107186,8,214193,91.69
66,116131,118949,11,235091,101876,107090,9,212247,90.28
67,125648,130788,38,256474,110706,116763,26,231139,90.12
68,118003,121996,9,240008,108908,111701,9,222933,92.89
69,105468,108101,5,213574,93803,95451,1,191401,89.62
70,120357,122606,29,242992,105778,108710,16,217641,89.57
71,104130,104949,19,209098,93290,94065,10,189376,90.57
72,107538,111751,11,219300,94946,99169,6,196360,89.54
73,102776,107093,16,209885,92682,98312,9,192680,91.8
74,119713,126205,76,245994,103656,109383,58,215891,87.76
75,112953,116200,29,229182,101383,105641,19,209859,91.57
76,122277,121092,35,243404,107209,107856,23,217762,89.47
77,150496,150249,44,300789,132309,136032,27,271103,90.13
78,136706,136884,51,273641,119281,123850,19,245006,89.54
79,131559,134400,44,266003,112116,120737,22,235780,88.64
80,139007,142547,68,281622,117866,129253,41,249689,88.66
81,106406,111962,7,218375,92470,101361,3,196881,90.16
82,110787,117410,22,228219,98617,107127,20,208562,91.39
83,133812,139107,18,272937,122815,128189,14,253743,92.97
84,150257,144584,22,294863,136362,131446,18,271493,92.07
85,129034,126820,15,255869,114367,113712,11,231663,90.54
86,139764,136678,30,276472,128641,125835,24,258490,93.5
87,131472,129088,30,260590,121453,119620,24,244023,93.64
88,128491,129485,64,258040,115674,116512,46,234789,90.99
89,116011,122624,50,238685,101851,106711,43,210877,88.35
90,111277,115554,49,226880,101139,105317,36,208117,91.73
91,125773,124714,17,250504,117054,116770,15,236141,94.27
92,108636,113655,13,222304,97733,103582,11,204902,92.17
93,112168,117288,26,229482,99693,107074,15,209816,91.43
94,114433,123443,39,237915,98123,110427,33,212395,89.27
95,98548,106657,10,205215,86672,98366,9,189019,92.11
96,101443,107608,48,209099,90246,97998,30,191217,91.45
97,106211,113789,72,220072,98115,105603,60,205359,93.31
98,85826,93728,38,179592,77358,83854,28,162573,90.52
