ac_number,ac_name,candidate,party,party_type,votes,status,total_votes,valid_votes
2,PONNERI,Rajathi.m,NTK,S,6676,FD,226873,225954
2,PONNERI,Malathi.s,MMKA,U,371,FD,226873,225954
5,POONAMALLEE,Mekala.j,NTK,S,11697,FD,309019,307323
5,POONAMALLEE,Dr.jayanthi.r,IND,IND,304,FD,309019,307323
6,AVADI,Punitha Shanmugam,NTK,S,16335,FD,346358,344472
7,MADURAVOYAL,Revathi L,NTK,S,13024,FD,294170,292230
8,AMBATTUR,Dr. J.sailas,BSP,N,443,FD,260675,258496
8,AMBATTUR,Dr A.p. Poornima,DMK,S,74558,L,260675,258496
8,AMBATTUR,D. Pushpa,IND,IND,68,FD,260675,258496
8,AMBATTUR,Jothi.m,IND,IND,89,FD,260675,258496
9,MADAVARAM,E.krithika,NTK,S,12637,FD,362249,360604
10,THIRUVOTTIYUR,Sathya. B,NTK,S,8413,FD,207167,206283
10,THIRUVOTTIYUR,Sasirekha. M,VTVTK,U,271,FD,207167,206283
11,DR.RADHAKRISHNAN NAGAR,Vennila.t,NTK,S,5364,FD,181348,180645
11,DR.RADHAKRISHNAN NAGAR,Amudha.n,IND,IND,30,FD,181348,180645
11,DR.RADHAKRISHNAN NAGAR,A. Usha,IND,IND,41,FD,181348,180645
12,PERAMBUR,M. Geeta,TK,U,47,FD,204619,203783
12,PERAMBUR,M. Thilagabama,PMK,U,8561,FD,204619,203783
12,PERAMBUR,S. Malathi,VTVTK,U,32,FD,204619,203783
12,PERAMBUR,Amala.r,IND,IND,32,FD,204619,203783
12,PERAMBUR,Azarutheen.m,IND,IND,78,FD,204619,203783
12,PERAMBUR,M.i. Thahira Banu,IND,IND,33,FD,204619,203783
12,PERAMBUR,Nivetha,IND,IND,70,FD,204619,203783
13,KOLATHUR,Subashini,BSP,N,236,FD,184284,183159
13,KOLATHUR,Oormila,tavk,U,105,FD,184284,183159
13,KOLATHUR,Selvi Steffi. V. M,IND,IND,122,FD,184284,183159
13,KOLATHUR,M. Poornima,IND,IND,56,FD,184284,183159
15,THIRU-VI-KA-NAGAR,Porkodi Armstrong,ADMK,S,23304,FD,143940,143376
15,THIRU-VI-KA-NAGAR,M. R. Pallavi,TVK,U,69125,W,143940,143376
15,THIRU-VI-KA-NAGAR,S Jayakalpana,RPPRINAT,U,350,FD,143940,143376
16,EGMORE,Saranya Imran,NTK,S,2522,FD,119915,119043
17,ROYAPURAM,P. Sumathi,IND,IND,49,FD,127420,126897
