constituency,turnout,region,reserved,category,year
Palacode,88.13,North,GEN,Top 5 — 2021,2021
Kulithalai,87.21,Kongu,GEN,Top 5 — 2021,2021
Edapadi,87.14,Central,GEN,Top 5 — 2021,2021
Veerapandi,86.43,Central,GEN,Top 5 — 2021,2021
Viralimalai,86.41,Delta,GEN,Top 5 — 2021,2021
Shozhinganallur,55.71,Chennai Metro,GEN,Bottom 5 — 2021,2021
Velachery,56.2,Chennai Metro,GEN,Bottom 5 — 2021,2021
Theayagaraya Nagar,56.4,Chennai Metro,GEN,Bottom 5 — 2021,2021
Villivakkam,56.78,Chennai Metro,GEN,Bottom 5 — 2021,2021
Mylapore,56.79,Chennai Metro,GEN,Bottom 5 — 2021,2021
Karur,94.44,Kongu,GEN,Top 5 — 2026,2026
Veerapandi,94.27,Central,GEN,Top 5 — 2026,2026
Perundurai,93.76,Kongu,GEN,Top 5 — 2026,2026
Kulithalai,93.69,Kongu,GEN,Top 5 — 2026,2026
Sankari,93.64,Central,GEN,Top 5 — 2026,2026
Palayamcottai,70.32,South,GEN,Bottom 5 — 2026,2026
Killiyoor,72.23,South,GEN,Bottom 5 — 2026,2026
Madurai North,73.15,South,GEN,Bottom 5 — 2026,2026
Madurai Central,74.46,South,GEN,Bottom 5 — 2026,2026
Karaikudi,75.01,South,GEN,Bottom 5 — 2026,2026
