ac_number,constituency,party_21,vote_pct_21,region,reserved,party_26,vote_pct_26,margin,flipped,vote_pct_diff,rank
76,Tirukkoyilur,DMK,57.15,Central,GEN,AIADMK,33.68,285,True,23.47,1
79,Sankarapuram,DMK,56.41,Central,GEN,AIADMK,34.13,3440,True,22.28,2
127,Palani,DMK,53.15,South,GEN,AIADMK,32.23,693,True,20.92,3
136,Krishnarayapuram,DMK,53.72,Kongu,SC,TVK,33.03,3503,True,20.69,4
112,Avanashi,AIADMK,55.78,Kongu,SC,TVK,36.61,15373,True,19.17,5
51,Uthangarai,AIADMK,53.34,North,SC,TVK,34.3,5198,True,19.04,6
70,Gingee,DMK,53.58,Central,GEN,PMK,36.18,12645,True,17.4,7
1,Gummidipundi,DMK,57.4,Chennai Metro,GEN,TVK,40.73,27945,True,16.67,8
80,Kallakurichi,AIADMK,49.26,Central,SC,TVK,32.62,798,True,16.64,9
116,Sulur,AIADMK,49.77,Kongu,GEN,TVK,33.26,4790,True,16.51,10
66,Polur,AIADMK,48.65,North,GEN,TVK,32.22,227,True,16.43,11
125,Udumalpet,AIADMK,50.23,Kongu,GEN,DMK,33.86,2882,True,16.37,12
91,Veerapandi,AIADMK,50.24,Central,GEN,TVK,33.96,4071,True,16.28,13
111,Mettupalayam,AIADMK,47.33,Kongu,GEN,TVK,31.08,7768,True,16.25,14
135,Karur,DMK,49.31,Kongu,GEN,AIADMK,33.08,1821,True,16.23,15
52,Bargur,DMK,49.55,North,GEN,AIADMK,33.39,4241,True,16.16,16
13,Kolathur,DMK,61.4,Chennai Metro,GEN,TVK,45.31,8795,True,16.09,17
143,Lalgudi,DMK,48.93,Delta,GEN,AIADMK,32.89,2739,True,16.04,18
107,Bhavanisagar,AIADMK,49.95,Kongu,SC,TVK,34.02,4569,True,15.93,19
72,Tindivanam,AIADMK,48.15,Central,SC,VCK,32.68,734,True,15.47,20
75,Vikravandi,DMK,48.69,Central,GEN,PMK,33.39,910,True,15.3,21
147,Perambalur,DMK,51.27,Central,SC,TVK,35.99,14393,True,15.28,22
58,Pennagaram,PMK,50.89,North,GEN,TVK,35.63,3165,True,15.26,23
73,Vanur,AIADMK,50.99,Central,SC,DMK,35.95,7034,True,15.04,24
130,Nilakottai,AIADMK,49.83,South,SC,TVK,34.82,2925,True,15.01,25
158,Chidambaram,AIADMK,50.49,Central,GEN,DMK,35.62,5747,True,14.87,26
3,Tiruttani,DMK,52.09,Chennai Metro,GEN,AIADMK,37.53,5793,True,14.56,27
190,Sholavandan,DMK,48.3,South,SC,TVK,33.9,2678,True,14.4,28
146,Thuraiyur,DMK,50.37,Delta,SC,TVK,36.07,9614,True,14.3,29
188,Melur,AIADMK,45.82,South,GEN,INC,31.59,2724,True,14.23,30
94,Namakkal,DMK,51.83,Central,GEN,TVK,37.7,11008,True,14.13,31
108,Udhagamandalam,INC,46.9,Kongu,GEN,BJP,32.94,976,True,13.96,32
232,Padmanabhapuram,DMK,51.88,South,GEN,CPI(M),38.31,15569,True,13.57,33
216,Srivaikuntam,INC,46.96,South,GEN,TVK,33.45,1186,True,13.51,34
