region,party_grp,2021,2026,swing
Central,AIADMK,35.55,27.0,-8.55
Central,BJP,1.35,0.68,-0.67
Central,DMK,38.91,23.18,-15.73
Central,INC,2.97,1.2,-1.77
Central,NOTA,0.71,0.35,-0.36
Central,NTK,4.93,2.91,-2.02
Central,Others,5.65,4.8,-0.85
Central,PMK,8.06,5.56,-2.5
Central,TVK,,31.02,
Central,VCK,1.86,3.3,1.44
Chennai Metro,AIADMK,28.34,15.94,-12.4
Chennai Metro,BJP,1.09,1.02,-0.07
Chennai Metro,CPI(M),,0.8,
Chennai Metro,DMK,45.34,24.31,-21.03
Chennai Metro,INC,4.25,2.74,-1.51
Chennai Metro,NOTA,0.87,0.48,-0.39
Chennai Metro,NTK,8.47,3.53,-4.94
Chennai Metro,Others,9.28,3.91,-5.37
Chennai Metro,PMK,2.36,0.63,-1.73
Chennai Metro,TVK,,46.63,
Delta,AIADMK,33.56,19.54,-14.02
Delta,BJP,0.81,3.45,2.64
Delta,CPI,1.58,1.14,-0.44
Delta,CPI(M),2.24,1.59,-0.65
Delta,DMK,40.62,27.66,-12.96
Delta,INC,2.53,2.79,0.26
Delta,NOTA,0.62,0.37,-0.25
Delta,NTK,7.47,4.55,-2.92
Delta,Others,7.53,4.66,-2.87
Delta,PMK,1.98,1.37,-0.61
Delta,TVK,,32.87,
Delta,VCK,1.08,,
Kongu,AIADMK,39.51,23.86,-15.65
Kongu,BJP,5.38,4.29,-1.09
Kongu,CPI,3.33,1.68,-1.65
Kongu,DMK,34.38,25.62,-8.76
Kongu,INC,3.86,3.55,-0.31
Kongu,NOTA,0.82,0.49,-0.33
Kongu,NTK,5.36,3.49,-1.87
Kongu,Others,7.35,2.53,-4.82
Kongu,TVK,,34.49,
North,AIADMK,31.72,24.93,-6.79
North,BJP,1.43,1.72,0.29
North,CPI,1.61,0.97,-0.64
North,CPI(M),0.92,,
North,DMK,36.85,20.5,-16.35
North,INC,2.42,2.87,0.45
North,NOTA,0.8,0.41,-0.39
North,NTK,5.26,2.67,-2.59
North,Others,5.52,5.2,-0.32
North,PMK,10.33,5.46,-4.87
North,TVK,,33.06,
North,VCK,3.13,2.21,-0.92
South,AIADMK,31.78,16.81,-14.97
South,BJP,4.69,5.7,1.01
South,CPI,0.64,0.48,-0.16
South,CPI(M),1.65,1.14,-0.51
South,DMK,33.17,24.64,-8.53
South,INC,7.73,5.92,-1.81
South,NOTA,0.69,0.37,-0.32
South,NTK,7.81,6.01,-1.8
South,Others,11.56,4.85,-6.71
South,PMK,0.27,,
South,TVK,,33.52,
South,VCK,,0.56,
