ac_number,total_postal,total_votes,postal_pct,turnout,region,year
1,1622,232522,0.698,91.52,Chennai Metro,2026
2,1143,226819,0.504,90.24,Chennai Metro,2026
3,3178,238798,1.331,91.22,Chennai Metro,2026
4,1779,226428,0.786,90.31,Chennai Metro,2026
5,1814,308894,0.587,83.81,Chennai Metro,2026
6,2495,346005,0.721,79.34,Chennai Metro,2026
7,1182,293692,0.402,78.8,Chennai Metro,2026
8,995,259986,0.383,77.33,Chennai Metro,2026
9,1852,361998,0.512,83.88,Chennai Metro,2026
10,713,207088,0.344,84.58,Chennai Metro,2026
11,680,181210,0.375,90.95,Chennai Metro,2026
12,1312,204384,0.642,90.4,Chennai Metro,2026
13,1658,184051,0.901,86.99,Chennai Metro,2026
14,933,141452,0.66,86.68,Chennai Metro,2026
15,1040,143903,0.723,79.24,Chennai Metro,2026
16,1012,119738,0.845,86.4,Chennai Metro,2026
17,1011,127356,0.794,79.8,Chennai Metro,2026
18,339,99622,0.34,82.93,Chennai Metro,2026
19,818,140741,0.581,84.81,Chennai Metro,2026
20,1457,131824,1.105,83.72,Chennai Metro,2026
21,1577,163339,0.965,86.51,Chennai Metro,2026
22,1324,172831,0.766,86.17,Chennai Metro,2026
23,1466,160401,0.914,78.61,Chennai Metro,2026
24,1289,133928,0.962,84.48,Chennai Metro,2026
25,1317,150594,0.875,75.59,Chennai Metro,2026
26,1608,184815,0.87,85.19,Chennai Metro,2026
27,2003,447295,0.448,80.76,Chennai Metro,2026
28,2299,261570,0.879,86.9,Chennai Metro,2026
29,2413,331088,0.729,86.73,Chennai Metro,2026
30,1861,283677,0.656,84.2,Chennai Metro,2026
31,1812,278809,0.65,84.51,Chennai Metro,2026
32,1956,324010,0.604,86.91,Chennai Metro,2026
33,1607,262409,0.612,89.19,North,2026
34,1961,187584,1.045,92.15,North,2026
35,1962,198251,0.99,93.36,North,2026
36,3522,227765,1.546,92.68,North,2026
37,3556,246317,1.444,88.54,North,2026
38,1317,182340,0.722,90.8,North,2026
39,1983,233684,0.849,90.66,North,2026
40,1992,203497,0.979,88.79,North,2026
41,1329,221038,0.601,88.87,North,2026
42,2502,225786,1.108,91.58,North,2026
43,1750,190527,0.919,88.66,North,2026
44,2279,216318,1.054,90.21,North,2026
45,2049,189892,1.079,87.72,North,2026
46,1373,229076,0.599,90.95,North,2026
47,1453,212534,0.684,87.38,North,2026
48,1236,195584,0.632,91.11,North,2026
49,2208,213042,1.036,89.94,North,2026
50,1820,202925,0.897,89.4,North,2026
51,2972,205530,1.446,87.21,North,2026
52,3493,213960,1.633,89.04,North,2026
53,3486,230181,1.514,85.76,North,2026
54,1570,222608,0.705,90.29,North,2026
55,2209,277770,0.795,81.02,North,2026
56,1590,205878,0.772,86.56,North,2026
57,2787,225257,1.237,93.62,North,2026
58,3265,228666,1.428,91.99,North,2026
59,5374,238579,2.253,91.48,North,2026
60,4770,236621,2.016,92.28,North,2026
61,4736,220042,2.152,89.56,North,2026
62,2407,242897,0.991,90.45,North,2026
63,2254,220066,1.024,88.02,North,2026
64,2447,219790,1.113,91.23,North,2026
65,2599,214127,1.214,91.69,North,2026
66,2768,211743,1.307,90.28,North,2026
67,2667,230162,1.159,90.12,North,2026
68,1952,222570,0.877,92.89,North,2026
69,1949,191204,1.019,89.62,North,2026
70,2148,216652,0.991,89.57,Central,2026
71,1856,189221,0.981,90.57,Central,2026
72,1905,196026,0.972,89.54,Central,2026
73,1116,192119,0.581,91.8,Central,2026
74,2325,215422,1.079,87.76,Central,2026
75,2188,209231,1.046,91.57,Central,2026
76,2230,217318,1.026,89.47,Central,2026
77,2634,271002,0.972,90.13,Central,2026
78,1645,244795,0.672,89.54,Central,2026
79,2653,235528,1.126,88.64,Central,2026
80,2466,249626,0.988,88.66,Central,2026
81,2845,196679,1.447,90.16,Central,2026
82,2532,208296,1.216,91.39,Central,2026
83,2574,253592,1.015,92.97,Central,2026
84,3293,271119,1.215,92.07,Central,2026
85,3015,231105,1.305,90.54,Central,2026
86,3763,258263,1.457,93.5,Central,2026
87,2682,243779,1.1,93.64,Central,2026
88,2175,234407,0.928,90.99,Central,2026
89,2107,210712,1.0,88.35,Central,2026
90,1410,207902,0.678,91.73,Central,2026
91,2036,235875,0.863,94.27,Central,2026
92,3354,204680,1.639,92.17,Central,2026
93,2905,209687,1.385,91.43,Central,2026
94,3700,212283,1.743,89.27,Central,2026
95,3798,188845,2.011,92.11,Central,2026
96,2848,191122,1.49,91.45,Central,2026
97,1546,205324,0.753,93.31,Central,2026
98,1213,162453,0.747,90.52,Kongu,2026
99,2065,221400,0.933,88.9,Kongu,2026
100,3152,190759,1.652,91.92,Kongu,2026
101,2351,199944,1.176,89.96,Kongu,2026
102,2467,203534,1.212,92.8,Kongu,2026
103,2410,200686,1.201,93.76,Kongu,2026
104,3190,208323,1.531,93.39,Kongu,2026
105,2827,185775,1.522,89.66,Kongu,2026
106,2818,219727,1.283,91.97,Kongu,2026
107,2262,214595,1.054,90.41,Kongu,2026
108,2175,148704,1.463,78.87,Kongu,2026
109,1421,151241,0.94,81.64,Kongu,2026
110,2045,141394,1.446,79.63,Kongu,2026
111,1859,244319,0.761,86.64,Kongu,2026
112,2137,231600,0.923,91.54,Kongu,2026
113,1354,263457,0.514,83.45,Kongu,2026
114,1107,179814,0.616,91.29,Kongu,2026
115,2191,301014,0.728,91.34,Kongu,2026
116,1962,273544,0.717,88.96,Kongu,2026
117,2964,363991,0.814,86.26,Kongu,2026
118,1831,226109,0.81,76.19,Kongu,2026
119,1826,258549,0.706,88.22,Kongu,2026
120,1372,156499,0.877,82.95,Kongu,2026
121,2152,221033,0.974,81.9,Kongu,2026
122,1511,267917,0.564,87.75,Kongu,2026
123,1494,181196,0.825,88.9,Kongu,2026
124,1171,150431,0.778,86.68,Kongu,2026
125,1771,203575,0.87,88.28,Kongu,2026
126,1746,188249,0.927,87.68,Kongu,2026
127,1835,208619,0.88,87.0,South,2026
128,1734,201624,0.86,91.57,South,2026
129,3069,237183,1.294,90.49,South,2026
130,1957,197593,0.99,89.28,South,2026
131,1517,239140,0.634,91.55,South,2026
132,3149,212024,1.485,87.61,South,2026
133,1920,226554,0.847,92.9,South,2026
134,1660,181078,0.917,92.65,Kongu,2026
135,1980,216829,0.913,94.44,Kongu,2026
136,1664,189357,0.879,93.37,Kongu,2026
137,1992,209091,0.953,93.69,Kongu,2026
138,3214,241216,1.332,90.04,Delta,2026
139,2658,254985,1.042,88.9,Delta,2026
140,2258,196347,1.15,82.19,Delta,2026
141,2442,182493,1.338,82.97,Delta,2026
142,2840,213583,1.33,82.32,Delta,2026
143,1813,185213,0.979,87.35,Delta,2026
144,2429,209780,1.158,88.72,Delta,2026
145,3609,189141,1.908,88.36,Delta,2026
146,2122,184426,1.151,87.6,Delta,2026
147,4026,253654,1.587,87.32,Central,2026
148,3060,230570,1.327,86.02,Central,2026
149,1865,235858,0.791,89.7,Central,2026
150,2344,228548,1.026,86.75,Central,2026
151,1765,175754,1.004,84.18,Central,2026
152,2110,209186,1.009,86.96,Central,2026
153,2233,168780,1.323,88.35,Central,2026
154,2634,210767,1.25,87.25,Central,2026
155,3544,190378,1.862,85.4,Central,2026
156,2213,213965,1.034,89.94,Central,2026
157,2600,207310,1.254,88.91,Central,2026
158,3185,196586,1.62,85.2,Central,2026
159,2274,187905,1.21,83.1,Central,2026
160,1623,200448,0.81,83.07,Delta,2026
161,1784,188461,0.947,80.42,Delta,2026
162,1373,219324,0.626,84.76,Delta,2026
163,1389,151326,0.918,86.71,Delta,2026
164,1696,151637,1.118,88.93,Delta,2026
165,2833,162216,1.746,86.64,Delta,2026
166,1810,191030,0.947,84.22,Delta,2026
167,1742,194100,0.897,82.78,Delta,2026
168,1928,217875,0.885,83.8,Delta,2026
169,1856,231444,0.802,86.55,Delta,2026
170,1289,208944,0.617,81.5,Delta,2026
171,2131,208288,1.023,81.92,Delta,2026
172,1582,207723,0.762,81.0,Delta,2026
173,2145,222111,0.966,85.93,Delta,2026
174,2906,198798,1.462,78.72,Delta,2026
175,1738,195304,0.89,83.62,Delta,2026
176,1300,183745,0.708,75.95,Delta,2026
177,1333,176274,0.756,82.46,Delta,2026
178,1426,167618,0.851,85.6,Delta,2026
179,1770,203921,0.868,90.6,Delta,2026
180,2209,190378,1.16,84.34,Delta,2026
181,1244,182612,0.681,82.85,Delta,2026
182,1569,180483,0.869,85.13,Delta,2026
183,1769,182730,0.968,79.53,Delta,2026
184,2270,229267,0.99,75.01,South,2026
185,1969,215710,0.913,78.27,South,2026
186,2682,214067,1.253,77.07,South,2026
187,3436,208643,1.647,80.36,South,2026
188,1743,190726,0.914,82.94,South,2026
189,3254,271566,1.198,80.77,South,2026
190,1992,189080,1.054,87.87,South,2026
191,2051,161801,1.268,73.15,South,2026
192,802,141503,0.567,78.66,South,2026
193,1086,148586,0.731,74.46,South,2026
194,2155,216403,0.996,78.66,South,2026
195,2119,255466,0.829,82.11,South,2026
196,3755,230980,1.626,88.06,South,2026
197,3204,224048,1.43,83.85,South,2026
198,2702,217329,1.243,84.38,South,2026
199,2425,211209,1.148,79.35,South,2026
200,2676,220628,1.213,83.63,South,2026
201,2843,210574,1.35,82.03,South,2026
202,2240,183020,1.224,85.36,South,2026
203,3056,193471,1.58,86.09,South,2026
204,2294,198734,1.154,86.48,South,2026
205,1552,193517,0.802,84.74,South,2026
206,1776,167832,1.058,83.87,South,2026
207,2284,178413,1.28,85.84,South,2026
208,2165,181250,1.194,88.31,South,2026
209,3002,189753,1.582,80.82,South,2026
210,2115,220278,0.96,77.59,South,2026
211,1984,237576,0.835,76.07,South,2026
212,3058,231373,1.322,77.2,South,2026
213,2258,174814,1.292,85.19,South,2026
214,1947,204712,0.951,81.73,South,2026
215,2296,186050,1.234,79.95,South,2026
216,2921,176421,1.656,82.28,South,2026
217,2837,196117,1.447,80.33,South,2026
218,2458,194232,1.265,80.25,South,2026
219,3528,196480,1.796,82.7,South,2026
220,3482,189795,1.835,83.02,South,2026
221,2759,221951,1.243,82.44,South,2026
222,3019,234987,1.285,83.41,South,2026
223,3130,220857,1.417,86.46,South,2026
224,2658,218425,1.217,79.28,South,2026
225,2464,191195,1.289,83.95,South,2026
226,3299,180620,1.826,70.32,South,2026
227,3057,209419,1.46,81.38,South,2026
228,2364,199931,1.182,81.05,South,2026
229,4158,239150,1.739,82.88,South,2026
230,2971,196280,1.514,75.78,South,2026
231,2838,199013,1.426,75.06,South,2026
232,2838,180555,1.572,76.59,South,2026
233,3328,174927,1.903,76.72,South,2026
234,2702,177534,1.522,72.23,South,2026
1,2073,222069,0.933,78.08,Chennai Metro,2021
2,1267,210354,0.602,78.2,Chennai Metro,2021
3,3838,232624,1.65,78.76,Chennai Metro,2021
